#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5730.7763	165.5474	129.2077	5601.5686	5896.3238
logg	4.3340	0.7189	0.8413	3.4927	5.0529
[Fe/H]	-0.1215	0.5621	0.5433	-0.6648	0.4406
dist	212.6878	11.8418	14.8417	197.8461	224.5296
rad	1.1213	0.0783	0.0735	1.0478	1.1997
Av	0.1003	0.0908	0.1077	-0.0074	0.1911
grav_mass	0.3528	1.9382	0.2584	0.0943	2.2910
lum	1.2325	0.2109	0.2074	1.0250	1.4434
AD	0.0492	0.0048	0.0041	0.0451	0.0540
age	2.2331	6.1232	2.2061	0.0269	8.3562
iso_mass	1.1093	0.0711	0.2149	0.8943	1.1804
eep	342.6560	74.0322	33.4339	309.2221	416.6882
H_noise	0.0632	0.1746	0.0659	-0.0027	0.2378
J_noise	0.0459	0.1739	0.0524	-0.0065	0.2198
Ks_noise	0.0306	0.1442	0.0389	-0.0083	0.1748
V_noise	0.1687	0.8410	0.2068	-0.0381	1.0096
B_noise	0.0732	0.1955	0.0764	-0.0031	0.2688
BT_noise	0.1967	1.1036	0.2759	-0.0792	1.3003
VT_noise	0.1742	0.7183	0.2105	-0.0363	0.8926
G_noise	0.0040	0.0068	0.0027	0.0012	0.0107
RP_noise	0.0046	0.0059	0.0038	0.0008	0.0105
BP_noise	0.0109	0.0092	0.0098	0.0012	0.0202
SDSS_g_noise	0.0608	0.2100	0.0623	-0.0015	0.2708
SDSS_i_noise	0.0224	0.1238	0.0291	-0.0068	0.1462
SDSS_r_noise	0.0422	0.0546	0.0282	0.0140	0.0968
W1_noise	0.0413	0.1805	0.0516	-0.0103	0.2218
W2_noise	0.0407	0.1557	0.0452	-0.0045	0.1964
