# Filter Magnitude Uncertainty
2MASS_H 4.6290 0.1440
GROUND_JOHNSON_U 7.1770 0.0300
GROUND_JOHNSON_V 7.1070 0.5220
GROUND_JOHNSON_B 6.8270 0.0300
TYCHO_B_MvB 7.0000 0.0300
TYCHO_V_MvB 6.1450 0.0300
STROMGREN_b 6.5530 0.0300
STROMGREN_u 8.3640 0.0300
STROMGREN_v 7.3030 0.0300
STROMGREN_y 6.0930 0.0300
GaiaDR2v2_G 5.8724 0.0300
GaiaDR2v2_RP 5.3539 0.0300
GaiaDR2v2_BP 6.2656 0.0300
SDSS_g 7.0730 0.0380
SDSS_i 5.8260 0.0480
SDSS_r 6.6920 0.0300
