#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5837.0823	127.2320	114.7174	5722.3649	5964.3143
logg	4.3938	0.7283	0.8564	3.5374	5.1221
[Fe/H]	-0.4928	0.6701	0.4591	-0.9519	0.1773
dist	133.1923	3.1035	2.3930	130.7993	136.2957
rad	1.0246	0.0365	0.0359	0.9888	1.0612
Av	0.0348	0.0672	0.0663	-0.0315	0.1021
grav_mass	0.3624	2.2336	0.2939	0.0685	2.5960
lum	1.1022	0.1286	0.1171	0.9850	1.2308
AD	0.0714	0.0030	0.0029	0.0686	0.0745
age	1.0707	9.6611	1.0335	0.0372	10.7319
iso_mass	1.0723	0.0487	0.2409	0.8314	1.1210
eep	393.0325	22.8871	97.2702	295.7623	415.9196
H_noise	0.0363	0.1554	0.0460	-0.0098	0.1916
J_noise	0.0398	0.1718	0.0533	-0.0135	0.2116
Ks_noise	0.0335	0.1830	0.0470	-0.0134	0.2165
V_noise	0.0455	0.1730	0.0577	-0.0121	0.2186
B_noise	0.0436	0.1355	0.0452	-0.0016	0.1790
BT_noise	0.0719	0.3375	0.0956	-0.0237	0.4093
VT_noise	0.1047	0.2875	0.1084	-0.0037	0.3923
G_noise	0.0015	0.0037	0.0014	0.0001	0.0052
RP_noise	0.0060	0.0127	0.0060	0.0000	0.0187
BP_noise	0.0148	0.0118	0.0107	0.0041	0.0266
SDSS_g_noise	0.2439	1.2771	0.3392	-0.0953	1.5210
SDSS_i_noise	0.0444	0.1241	0.0442	0.0002	0.1684
SDSS_r_noise	0.0419	0.1907	0.0517	-0.0098	0.2326
W1_noise	0.0584	0.1550	0.0625	-0.0040	0.2134
W2_noise	0.0374	0.1442	0.0452	-0.0078	0.1816
