#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5847.8429	61.5348	63.8138	5784.0290	5909.3776
logg	4.4014	0.3883	0.4036	3.9978	4.7897
[Fe/H]	-0.3953	0.2799	0.2673	-0.6626	-0.1154
dist	133.3988	1.4326	1.2894	132.1094	134.8315
rad	1.0264	0.0180	0.0207	1.0058	1.0445
Av	0.0342	0.0345	0.0340	0.0002	0.0687
grav_mass	0.7073	1.1494	0.4395	0.2679	1.8567
lum	1.1031	0.0671	0.0595	1.0436	1.1702
AD	0.0714	0.0015	0.0015	0.0699	0.0730
age	1.0707	9.6611	1.0335	0.0372	13.427980341198737
iso_mas	1.0723	0.0487	0.2409	0.7889	1.1609315251046066
eep	393.0325	22.8871	97.2702	207.0748	420.21088836191825
H_noise	0.0761	0.0903	0.0451	0.0310	0.1664
J_noise	0.0792	0.1054	0.0481	0.0311	0.1846
Ks_noise	0.0901	0.0928	0.0575	0.0327	0.1830
V_noise	0.0951	0.0973	0.0581	0.0370	0.1925
B_noise	0.0792	0.0621	0.0420	0.0372	0.1413
BT_noise	0.1565	0.1960	0.0930	0.0635	0.3525
VT_noise	0.1720	0.1539	0.0928	0.0792	0.3259
G_noise	0.0024	0.0016	0.0012	0.0012	0.0040
RP_noise	0.0089	0.0052	0.0040	0.0048	0.0140
BP_noise	0.0150	0.0065	0.0054	0.0097	0.0215
SDSS_g_noise	0.6292	0.6786	0.3992	0.2301	1.3078
SDSS_i_noise	0.0722	0.0680	0.0386	0.0337	0.1402
SDSS_r_noise	0.0984	0.0999	0.0633	0.0351	0.1983
W1_noise	0.0978	0.0728	0.0536	0.0442	0.1706
W2_noise	0.0743	0.0717	0.0419	0.0324	0.1461
