#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4787.0094	68.3020	84.9980	4702.0114	4855.3114
logg	4.8470	0.5940	1.1960	3.6510	5.4410
[Fe/H]	0.4233	0.1796	0.6439	-0.2206	0.6028
dist	32.5242	0.2466	0.1832	32.3410	32.7708
rad	0.7597	0.0343	0.0274	0.7323	0.7940
Av	0.0000	(FIXED)
grav_mass	0.2542	2.1801	0.2110	0.0432	2.4343
lum	0.2729	0.0299	0.0280	0.2449	0.3028
AD	0.2175	0.0093	0.0084	0.2091	0.2269
age	1.2131	7.3711	1.1686	0.0445	8.5842
iso_mass	0.8219	0.0329	0.0487	0.7732	0.8548
eep	334.5194	18.7542	52.2845	282.2349	353.2736
H_noise	0.0916	0.2596	0.0865	0.0050	0.3512
J_noise	0.0335	0.1726	0.0446	-0.0111	0.2061
Ks_noise	0.0445	0.1759	0.0520	-0.0075	0.2204
V_noise	0.0260	0.1083	0.0338	-0.0078	0.1343
B_noise	0.0938	0.2567	0.0937	0.0001	0.3505
BT_noise	0.0668	0.2596	0.0773	-0.0104	0.3264
VT_noise	0.0310	0.1267	0.0364	-0.0054	0.1577
G_noise	0.0026	0.0061	0.0026	0.0001	0.0088
RP_noise	0.0095	0.0206	0.0095	0.0001	0.0302
BP_noise	0.0178	0.0189	0.0152	0.0025	0.0367
W1_noise	0.0935	0.4711	0.1346	-0.0411	0.5646
W2_noise	0.0389	0.1728	0.0489	-0.0100	0.2117
