#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4528.3509	44.7839	45.6978	4482.6531	4573.1348
logg	4.6382	0.4373	0.3462	4.2920	5.0755
[Fe/H]	-0.1897	0.3830	0.3121	-0.5018	0.1933
dist	125.3018	4.5571	1.9591	123.3426	129.8589
rad	0.7687	0.0277	0.0238	0.7449	0.7964
Av	0.0474	0.0289	0.0516	-0.0041	0.0764
grav_mass	0.8069	0.9890	0.5651	0.2418	1.7959
lum	0.2240	0.0203	0.0167	0.2073	0.2443
AD	0.0566	0.0024	0.0025	0.0541	0.0590
age	1.4059	7.9506	1.3476	0.0583	13.444051951646747
iso_mas	0.8011	0.0313	0.0410	0.6896	0.8597717074781879
eep	332.6118	19.8689	51.8799	194.0813	358.5517305188374
H_noise	0.1464	0.1064	0.0630	0.0834	0.2528
J_noise	0.0725	0.1312	0.0562	0.0163	0.2037
Ks_noise	0.0873	0.0805	0.0522	0.0350	0.1677
V_noise	0.0588	0.1132	0.0439	0.0149	0.1720
B_noise	0.0644	0.2095	0.0438	0.0207	0.2739
G_noise	0.0018	0.0019	0.0009	0.0009	0.0037
RP_noise	0.0042	0.0059	0.0025	0.0017	0.0101
BP_noise	0.0112	0.0111	0.0051	0.0060	0.0222
