# Filter Magnitude Uncertainty
2MASS_H 7.3120 0.0340
2MASS_J 7.8980 0.0300
2MASS_Ks 7.0300 0.0300
GROUND_JOHNSON_V 11.5710 0.0300
GROUND_JOHNSON_B 13.0980 0.0330
TYCHO_B_MvB 13.2740 0.3320
TYCHO_V_MvB 11.6940 0.1270
GaiaDR2v2_G 10.5294 0.0300
GaiaDR2v2_RP 9.4223 0.0300
GaiaDR2v2_BP 11.8536 0.0300
