#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5857.2941	145.9791	129.4976	5727.7964	6003.2732
logg	4.1579	0.9915	0.6717	3.4863	5.1494
[Fe/H]	-0.1027	0.5836	0.6220	-0.7247	0.4809
dist	97.3444	2.2368	3.1156	94.2288	99.5812
rad	1.2295	0.0484	0.0567	1.1728	1.2779
Av	0.0345	0.0782	0.0713	-0.0368	0.1127
grav_mass	0.4533	2.8812	0.3492	0.1041	3.3345
lum	1.5868	0.2234	0.1862	1.4006	1.8103
AD	0.1177	0.0059	0.0061	0.1116	0.1236
age	5.8940	5.7015	2.1998	3.6942	11.5955
iso_mass	1.0362	0.1172	0.1520	0.8842	1.1534
eep	417.8673	19.9862	37.7517	380.1156	437.8534
H_noise	0.0912	0.2486	0.0928	-0.0016	0.3398
J_noise	0.0267	0.1491	0.0367	-0.0101	0.1758
Ks_noise	0.0404	0.2160	0.0540	-0.0136	0.2563
V_noise	0.0452	0.2136	0.0592	-0.0140	0.2588
B_noise	0.0574	0.2940	0.0746	-0.0172	0.3515
BT_noise	0.0598	0.2567	0.0759	-0.0161	0.3165
VT_noise	0.0512	0.1912	0.0559	-0.0047	0.2424
G_noise	0.0054	0.0081	0.0052	0.0002	0.0135
RP_noise	0.0143	0.0205	0.0135	0.0009	0.0348
BP_noise	0.0101	0.0186	0.0094	0.0006	0.0287
W1_noise	0.0509	0.2356	0.0597	-0.0087	0.2865
W2_noise	0.0350	0.1632	0.0431	-0.0081	0.1982
