#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4156.4676	49.3858	172.8501	3983.6175	4205.8533
logg	4.7942	0.5438	0.5136	4.2807	5.3380
[Fe/H]	0.3811	0.1793	1.1080	-0.7269	0.5604
dist	28.4847	0.2109	0.1726	28.3121	28.6956
rad	0.6328	0.0569	0.0206	0.6122	0.6897
Av	0.0000	(FIXED)
grav_mass	0.6191	1.2940	0.5546	0.0645	1.9132
lum	0.1061	0.0202	0.0171	0.0890	0.1263
AD	0.2066	0.0185	0.0069	0.1997	0.2252
age	1.0318	8.9941	0.9894	0.0425	10.0259
iso_mass	0.6616	0.0257	0.0262	0.6354	0.6873
eep	326.8226	14.2462	60.6781	266.1445	341.0688
H_noise	0.0550	0.2239	0.0734	-0.0184	0.2789
J_noise	0.0387	0.1982	0.0522	-0.0135	0.2369
Ks_noise	0.0512	0.1917	0.0648	-0.0136	0.2428
V_noise	0.0334	0.1043	0.0405	-0.0071	0.1377
B_noise	0.0600	0.2160	0.0720	-0.0120	0.2760
BT_noise	0.2159	0.7084	0.2464	-0.0305	0.9243
VT_noise	0.0966	0.2590	0.0802	0.0165	0.3557
G_noise	0.0034	0.0052	0.0034	0.0001	0.0087
RP_noise	0.0048	0.0074	0.0045	0.0003	0.0122
BP_noise	0.0075	0.0146	0.0071	0.0003	0.0221
SDSS_g_noise	0.0564	0.1246	0.0469	0.0095	0.1810
SDSS_i_noise	0.0816	0.1375	0.0589	0.0227	0.2191
SDSS_r_noise	0.0810	0.1003	0.0524	0.0286	0.1814
W1_noise	0.0638	0.3960	0.0943	-0.0304	0.4598
W2_noise	0.0803	0.1357	0.0852	-0.0049	0.2160
