#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5617.8973	180.1078	116.9121	5500.9852	5798.0050
logg	4.0783	1.0262	0.6013	3.4769	5.1045
[Fe/H]	-0.6979	0.8856	0.3163	-1.0142	0.1877
dist	78.6501	0.9478	0.7405	77.9096	79.5979
rad	1.0243	0.0455	0.0475	0.9768	1.0698
Av	0.0175	0.0677	0.0797	-0.0622	0.0852
grav_mass	0.3119	1.6319	0.2418	0.0701	1.9438
lum	0.9578	0.1392	0.1303	0.8275	1.0970
AD	0.1214	0.0050	0.0062	0.1152	0.1265
age	2.2686	4.7708	2.2504	0.0182	7.0394
iso_mass	1.0669	0.0552	0.1051	0.9619	1.1221
eep	345.2818	40.5597	45.1514	300.1304	385.8415
H_noise	0.0817	0.1929	0.0786	0.0031	0.2746
J_noise	0.0409	0.1766	0.0482	-0.0072	0.2175
Ks_noise	0.0391	0.1829	0.0465	-0.0074	0.2219
V_noise	0.0897	0.1423	0.0669	0.0229	0.2321
B_noise	0.1200	0.6294	0.1767	-0.0566	0.7494
BT_noise	0.0934	0.2326	0.0895	0.0039	0.3260
VT_noise	0.0741	0.1568	0.0554	0.0187	0.2309
G_noise	0.0073	0.0195	0.0076	-0.0003	0.0268
RP_noise	0.0107	0.0458	0.0123	-0.0016	0.0564
BP_noise	0.0348	0.0618	0.0334	0.0014	0.0966
W1_noise	0.0700	0.2476	0.0762	-0.0062	0.3176
W2_noise	0.0474	0.1770	0.0543	-0.0068	0.2244
