#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5646.5470	76.2086	70.7651	5575.7819	5722.7556
logg	4.2970	0.3679	0.3924	3.9046	4.6649
[Fe/H]	-0.4436	0.3040	0.2996	-0.7432	-0.1396
dist	78.7702	0.4212	0.4288	78.3413	79.1914
rad	1.0239	0.0236	0.0236	1.0003	1.0476
Av	0.0127	0.0363	0.0363	-0.0235	0.0490
grav_mass	0.5450	0.8615	0.3015	0.2434	1.4064
lum	0.9584	0.0724	0.0631	0.8954	1.0308
AD	0.1211	0.0027	0.0031	0.1180	0.1238
age	2.2686	4.7708	2.2504	0.0182	13.475471165442467
iso_mas	1.0669	0.0552	0.1051	0.7740	1.165460295406201
eep	345.2818	40.5597	45.1514	189.9305	417.98310671909417
H_noise	0.1275	0.0992	0.0618	0.0657	0.2266
J_noise	0.0922	0.0856	0.0556	0.0365	0.1778
Ks_noise	0.0918	0.0923	0.0560	0.0359	0.1841
V_noise	0.1224	0.0644	0.0501	0.0723	0.1868
B_noise	0.2939	0.3607	0.1987	0.0953	0.6547
BT_noise	0.1502	0.1049	0.0734	0.0768	0.2551
VT_noise	0.1133	0.0737	0.0495	0.0638	0.1870
G_noise	0.0121	0.0091	0.0064	0.0057	0.0212
RP_noise	0.0249	0.0211	0.0146	0.0103	0.0459
BP_noise	0.0447	0.0315	0.0202	0.0245	0.0762
W1_noise	0.1427	0.1147	0.0809	0.0618	0.2574
W2_noise	0.0947	0.0846	0.0551	0.0397	0.1793
