#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5710.4595	114.4985	153.4280	5557.0315	5824.9580
logg	4.3760	0.2572	0.2830	4.0930	4.6332
[Fe/H]	0.0869	0.1699	0.1640	-0.0771	0.2568
dist	17.7154	0.0908	0.0877	17.6277	17.8062
rad	1.1571	0.0846	0.0646	1.0925	1.2416
Av	0.0000	(FIXED)
grav_mass	1.0004	0.9158	0.4943	0.5062	1.9163
lum	1.2610	0.2334	0.1772	1.0838	1.4944
AD	0.6072	0.0442	0.0337	0.5735	0.6514
age	2.0756	5.1781	2.0534	0.0222	13.324504956141674
iso_mas	1.0786	0.0830	0.1479	0.8152	1.3545937657001885
eep	343.7066	65.0630	32.9653	192.7603	452.1449727732624
H_noise	0.6200	0.8935	0.4153	0.2047	1.5135
J_noise	0.5679	0.9269	0.3621	0.2058	1.4947
Ks_noise	0.2025	0.1347	0.0990	0.1035	0.3372
U_noise	0.1802	0.0818	0.0604	0.1198	0.2620
V_noise	0.0492	0.0458	0.0278	0.0214	0.0950
B_noise	0.1312	0.0615	0.0448	0.0864	0.1927
b_noise	0.0512	0.0504	0.0264	0.0248	0.1016
u_noise	0.5680	0.0866	0.0802	0.4879	0.6546
v_noise	0.0685	0.0564	0.0385	0.0300	0.1249
y_noise	0.0477	0.0455	0.0287	0.0191	0.0933
