#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5711.3081	230.5732	254.5913	5456.7169	5941.8814
logg	4.3757	0.5007	0.5082	3.8675	4.8764
[Fe/H]	0.0605	0.3371	0.2709	-0.2104	0.3975
dist	17.7101	0.1689	0.1525	17.5576	17.8790
rad	1.1295	0.1648	0.0967	1.0327	1.2943
Av	0.0000	(FIXED)
grav_mass	0.6745	1.7871	0.5026	0.1719	2.4616
lum	1.2181	0.4302	0.2868	0.9312	1.6483
AD	0.5951	0.0841	0.0535	0.5416	0.6792
age	2.0756	5.1781	2.0534	0.0222	7.2537
iso_mass	1.0786	0.0830	0.1479	0.9307	1.1616
eep	343.7066	65.0630	32.9653	310.7413	408.7696
H_noise	0.2818	1.4867	0.3949	-0.1131	1.7685
J_noise	0.2797	1.4212	0.3790	-0.0993	1.7009
Ks_noise	0.1520	0.2742	0.1492	0.0027	0.4262
U_noise	0.1797	0.1378	0.1223	0.0574	0.3175
V_noise	0.0302	0.0870	0.0314	-0.0013	0.1172
B_noise	0.1154	0.1170	0.0692	0.0462	0.2324
b_noise	0.0298	0.0974	0.0305	-0.0008	0.1272
u_noise	0.5713	0.1551	0.1412	0.4301	0.7264
v_noise	0.0415	0.1156	0.0446	-0.0031	0.1571
y_noise	0.0251	0.0901	0.0292	-0.0041	0.1152
