#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4298.9546	60.1138	60.1138	4238.8408	4359.0684
logg	4.9009	0.2731	0.3710	4.5299	5.1740
[Fe/H]	-0.2251	0.3917	0.4014	-0.6265	0.1666
dist	62.5795	0.9057	0.7245	61.8549	63.4851
rad	0.6647	0.0228	0.0228	0.6419	0.6875
Av	-0.0057	0.0442	0.0330	-0.0387	0.0385
grav_mass	0.9988	1.0943	0.6214	0.3774	2.0931
lum	0.1361	0.0120	0.0120	0.1241	0.1481
AD	0.0986	0.0037	0.0035	0.0951	0.1023
age	1.1370	8.8457	1.0777	0.0594	13.440232035700927
iso_mas	0.6754	0.0345	0.0345	0.6074	0.7767561759953845
eep	322.0617	20.6395	49.5348	191.5170	345.2810915123907
H_noise	0.1222	0.1130	0.0780	0.0442	0.2352
J_noise	0.0729	0.0986	0.0467	0.0263	0.1716
Ks_noise	0.1008	0.1084	0.0577	0.0431	0.2092
V_noise	0.0945	0.1331	0.0628	0.0317	0.2276
B_noise	0.2048	0.1458	0.1044	0.1004	0.3506
BT_noise	0.8669	1.4054	0.5354	0.3315	2.2724
VT_noise	0.7489	0.8022	0.4430	0.3059	1.5511
G_noise	0.0079	0.0049	0.0039	0.0040	0.0128
RP_noise	0.0073	0.0045	0.0032	0.0041	0.0118
BP_noise	0.0104	0.0088	0.0059	0.0045	0.0191
SDSS_g_noise	0.2556	0.3364	0.1597	0.0960	0.5921
SDSS_i_noise	0.3164	0.4767	0.2182	0.0983	0.7932
SDSS_r_noise	0.1040	0.1312	0.0646	0.0394	0.2352
