#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4356.1005	90.5000	212.9411	4143.1594	4446.6004
logg	4.9138	0.5559	0.6254	4.2884	5.4697
[Fe/H]	0.1144	0.4581	1.1556	-1.0412	0.5725
dist	62.5559	1.5612	1.3558	61.2001	64.1171
rad	0.6403	0.0779	0.0278	0.6125	0.7183
Av	-0.0065	0.0758	0.0580	-0.0645	0.0692
grav_mass	0.7855	2.0771	0.7478	0.0378	2.8626
lum	0.1337	0.0306	0.0247	0.1090	0.1643
AD	0.0963	0.0107	0.0057	0.0906	0.1070
age	1.1370	8.8457	1.0777	0.0594	9.9828
iso_mass	0.6754	0.0345	0.0345	0.6408	0.7099
eep	322.0617	20.6395	49.5348	272.5269	342.7012
H_noise	0.0518	0.2353	0.0603	-0.0084	0.2871
J_noise	0.0381	0.1641	0.0466	-0.0084	0.2022
Ks_noise	0.0495	0.2107	0.0545	-0.0051	0.2602
V_noise	0.0510	0.2066	0.0675	-0.0165	0.2575
B_noise	0.1047	0.3340	0.0826	0.0220	0.4386
BT_noise	0.4979	2.1365	0.6410	-0.1431	2.6344
VT_noise	0.4362	1.3573	0.4524	-0.0162	1.7936
G_noise	0.0076	0.0082	0.0070	0.0006	0.0158
RP_noise	0.0079	0.0069	0.0075	0.0004	0.0149
BP_noise	0.0082	0.0166	0.0086	-0.0004	0.0247
SDSS_g_noise	0.1385	0.5554	0.1694	-0.0309	0.6939
SDSS_i_noise	0.1327	0.8016	0.1886	-0.0559	0.9343
SDSS_r_noise	0.0635	0.2180	0.0716	-0.0082	0.2815
