#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6082.1668	87.4313	132.2132	5949.9536	6169.5981
logg	4.8012	0.6077	1.1910	3.6101	5.4088
[Fe/H]	0.1444	0.3371	0.3972	-0.2529	0.4814
dist	106.9612	3.2304	3.0432	103.9180	110.1916
rad	1.1752	0.0400	0.0615	1.1137	1.2152
Av	0.0466	0.0469	0.0797	-0.0331	0.0935
grav_mass	0.5159	4.9730	0.4214	0.0945	5.4889
lum	1.6455	0.1942	0.1869	1.4586	1.8397
AD	0.1012	0.0053	0.0054	0.0959	0.1065
age	0.4701	2.1294	0.4436	0.0264	2.5995
iso_mass	1.1883	0.0622	0.0634	1.1249	1.2505
eep	334.1708	23.1658	55.7427	278.4281	357.3366
H_noise	0.0784	0.1381	0.0742	0.0042	0.2165
J_noise	0.0347	0.1732	0.0439	-0.0092	0.2080
Ks_noise	0.0522	0.1771	0.0557	-0.0034	0.2294
V_noise	0.0764	0.1773	0.0635	0.0128	0.2537
B_noise	0.0505	0.1602	0.0619	-0.0114	0.2107
BT_noise	0.0383	0.2525	0.0583	-0.0199	0.2908
VT_noise	0.0987	0.1886	0.0743	0.0244	0.2874
G_noise	0.0005	0.0027	0.0006	-0.0000	0.0033
RP_noise	0.0164	0.0104	0.0112	0.0052	0.0268
BP_noise	0.0111	0.0111	0.0092	0.0019	0.0221
SDSS_g_noise	0.6464	1.2681	0.3738	0.2726	1.9145
W1_noise	0.0398	0.1664	0.0485	-0.0087	0.2062
W2_noise	0.0388	0.1535	0.0471	-0.0083	0.1923
