#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6057.9680	59.9156	62.4652	5995.5029	6117.8836
logg	4.6533	0.3316	0.5544	4.0988	4.9848
[Fe/H]	0.1167	0.2051	0.2215	-0.1048	0.3217
dist	107.0628	1.9623	1.8221	105.2407	109.0251
rad	1.1683	0.0263	0.0344	1.1339	1.1946
Av	0.0343	0.0272	0.0392	-0.0049	0.0615
grav_mass	1.4660	2.4616	1.1567	0.3093	3.9276
lum	1.6476	0.1085	0.1106	1.5369	1.7560
AD	0.1011	0.0032	0.0031	0.0980	0.1044
age	0.4701	2.1294	0.4436	0.0264	8.869457852172665
iso_mas	1.1883	0.0622	0.0634	0.9406	1.2984011008407224
eep	334.1708	23.1658	55.7427	203.8632	419.5946340833537
H_noise	0.1059	0.0717	0.0565	0.0494	0.1776
J_noise	0.0880	0.0869	0.0614	0.0266	0.1749
Ks_noise	0.0804	0.1083	0.0450	0.0354	0.1887
V_noise	0.1228	0.0958	0.0687	0.0542	0.2186
B_noise	0.0888	0.0953	0.0531	0.0357	0.1841
BT_noise	0.1095	0.1260	0.0650	0.0444	0.2355
VT_noise	0.1356	0.1091	0.0618	0.0738	0.2446
G_noise	0.0012	0.0014	0.0006	0.0006	0.0026
RP_noise	0.0166	0.0063	0.0067	0.0099	0.0228
BP_noise	0.0103	0.0067	0.0041	0.0062	0.0170
SDSS_g_noise	1.1616	0.4249	0.6165	0.5452	1.5865
W1_noise	0.0698	0.0964	0.0397	0.0302	0.1662
W2_noise	0.0946	0.0619	0.0688	0.0258	0.1566
