#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5941.5623	104.1506	97.6412	5843.9212	6045.7129
logg	3.8686	0.9779	0.3704	3.4982	4.8465
[Fe/H]	0.0503	0.4280	0.4052	-0.3549	0.4783
dist	161.0692	3.3700	3.9396	157.1296	164.4392
rad	0.9891	0.0322	0.0341	0.9550	1.0214
Av	0.0387	0.0448	0.0525	-0.0138	0.0835
grav_mass	0.2413	0.8884	0.1692	0.0720	1.1297
lum	1.1015	0.1014	0.1105	0.9910	1.2029
AD	0.0572	0.0023	0.0023	0.0549	0.0595
age	0.7879	5.9507	0.7606	0.0273	6.7386
iso_mass	1.0578	0.0421	0.1485	0.9092	1.0998
eep	328.4564	66.3167	50.1059	278.3504	394.7731
H_noise	0.0401	0.1409	0.0451	-0.0050	0.1810
J_noise	0.0347	0.1822	0.0441	-0.0094	0.2169
Ks_noise	0.0319	0.1379	0.0409	-0.0091	0.1697
V_noise	0.0180	0.0706	0.0204	-0.0024	0.0886
B_noise	0.0560	0.2347	0.0643	-0.0083	0.2907
BT_noise	0.0591	0.2639	0.0828	-0.0237	0.3231
VT_noise	0.0555	0.2345	0.0709	-0.0154	0.2900
G_noise	0.0019	0.0021	0.0015	0.0005	0.0041
RP_noise	0.0056	0.0053	0.0053	0.0003	0.0109
BP_noise	0.0080	0.0039	0.0073	0.0007	0.0119
SDSS_g_noise	0.0825	0.2260	0.0872	-0.0047	0.3085
SDSS_i_noise	0.0495	0.2179	0.0577	-0.0081	0.2674
SDSS_r_noise	0.0405	0.2157	0.0518	-0.0113	0.2562
W1_noise	0.0529	0.1639	0.0583	-0.0054	0.2168
W2_noise	0.0360	0.1549	0.0413	-0.0053	0.1909
