# Filter Magnitude Uncertainty
2MASS_H 4.4300 0.2040
2MASS_J 4.6890 0.2060
2MASS_Ks 4.3880 0.0300
GROUND_JOHNSON_U 6.5000 0.0300
GROUND_JOHNSON_V 5.7940 0.0300
GROUND_JOHNSON_B 6.3940 0.0300
STROMGREN_b 6.1900 0.0300
STROMGREN_u 7.6830 0.0300
STROMGREN_v 6.7680 0.0300
STROMGREN_y 5.8040 0.0300
GaiaDR2v2_G 5.6470 0.0300
GaiaDR2v2_RP 5.1947 0.0300
GaiaDR2v2_BP 5.9606 0.0300
