#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5902.0640	41.7614	46.6745	5855.3895	5943.8255
logg	4.3352	0.1849	0.1882	4.1470	4.5201
[Fe/H]	0.0852	0.1525	0.1364	-0.0513	0.2377
dist	17.7216	0.0788	0.1004	17.6211	17.8004
rad	1.0694	0.0209	0.0209	1.0485	1.0903
Av	0.0000	(FIXED)
grav_mass	0.8334	0.4754	0.2897	0.5437	1.3088
lum	1.2470	0.0632	0.0608	1.1862	1.3102
AD	0.5611	0.0119	0.0107	0.5504	0.5730
age	0.7415	5.7209	0.7151	0.0264	13.345309991852147
iso_mas	1.0867	0.0831	0.1108	0.8348	1.2277771015999845
eep	345.7426	61.6329	52.7123	194.0933	436.5699738181765
H_noise	0.5021	0.9348	0.3452	0.1570	1.4370
J_noise	0.4746	1.0998	0.3270	0.1476	1.5744
Ks_noise	0.0764	0.1160	0.0508	0.0257	0.1924
U_noise	0.0888	0.0909	0.0515	0.0372	0.1796
V_noise	0.0228	0.0421	0.0157	0.0071	0.0648
B_noise	0.0839	0.0580	0.0386	0.0452	0.1418
b_noise	0.0415	0.0407	0.0238	0.0177	0.0822
u_noise	0.6423	0.0832	0.0748	0.5675	0.7255
v_noise	0.1215	0.0516	0.0409	0.0806	0.1731
y_noise	0.0458	0.0473	0.0210	0.0248	0.0931
G_noise	0.0068	0.0043	0.0036	0.0032	0.0111
RP_noise	0.0110	0.0068	0.0054	0.0056	0.0178
BP_noise	0.0046	0.0051	0.0028	0.0019	0.0098
