#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5900.3763	83.3201	86.5247	5813.8516	5983.6963
logg	4.3326	0.3194	0.3031	4.0295	4.6520
[Fe/H]	0.0896	0.2540	0.2376	-0.1480	0.3436
dist	17.7043	0.1542	0.1430	17.5613	17.8585
rad	1.0648	0.0404	0.0316	1.0332	1.1052
Av	0.0000	(FIXED)
grav_mass	0.7971	0.7783	0.4281	0.3690	1.5755
lum	1.2402	0.1209	0.1023	1.1378	1.3611
AD	0.5593	0.0220	0.0173	0.5421	0.5814
age	0.7415	5.7209	0.7151	0.0264	6.4624
iso_mass	1.0867	0.0831	0.1108	0.9759	1.1698
eep	345.7426	61.6329	52.7123	293.0303	407.3755
H_noise	0.2484	1.4072	0.3460	-0.0977	1.6555
J_noise	0.2653	1.5065	0.4065	-0.1412	1.7718
Ks_noise	0.0373	0.1852	0.0502	-0.0130	0.2224
U_noise	0.0472	0.1761	0.0482	-0.0011	0.2233
V_noise	0.0116	0.0618	0.0160	-0.0044	0.0733
B_noise	0.0597	0.1063	0.0438	0.0160	0.1660
b_noise	0.0201	0.0779	0.0219	-0.0018	0.0980
u_noise	0.6405	0.1373	0.1284	0.5121	0.7778
v_noise	0.1123	0.0914	0.0604	0.0519	0.2037
y_noise	0.0347	0.0744	0.0275	0.0072	0.1090
G_noise	0.0062	0.0075	0.0057	0.0005	0.0137
RP_noise	0.0096	0.0120	0.0088	0.0007	0.0215
BP_noise	0.0028	0.0093	0.0030	-0.0002	0.0121
