#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6078.6565	77.6290	74.5238	6004.1327	6156.2855
logg	4.0277	0.1728	0.1728	3.8549	4.2005
[Fe/H]	-0.0589	0.1455	0.1569	-0.2158	0.0865
dist	18.7908	0.1698	0.1698	18.6210	18.9606
rad	1.6929	0.0598	0.0609	1.6319	1.7526
Av	0.0000	(FIXED)
grav_mass	1.0742	0.5052	0.3789	0.6953	1.5793
lum	3.5135	0.3225	0.2995	3.2140	3.8361
AD	0.8374	0.0307	0.0307	0.8067	0.8682
age	3.4891	2.8545	1.0979	0.0124	10.918073518126578
iso_mas	1.2835	0.0896	0.2310	0.8521	1.5545770316947514
eep	392.3451	67.8012	25.0772	188.0126	465.7189939819391
H_noise	0.7410	0.8338	0.4618	0.2792	1.5748
Ks_noise	0.8914	1.0240	0.5749	0.3165	1.9154
U_noise	0.1397	0.1351	0.0828	0.0569	0.2749
V_noise	0.0123	0.0095	0.0068	0.0055	0.0218
B_noise	0.0126	0.0099	0.0065	0.0060	0.0225
BT_noise	0.0498	0.0543	0.0316	0.0182	0.1041
VT_noise	0.0355	0.0374	0.0227	0.0129	0.0730
b_noise	0.2345	0.3006	0.1463	0.0881	0.5350
u_noise	1.5622	0.3702	0.2749	1.2873	1.9325
v_noise	0.4180	0.3117	0.2046	0.2134	0.7297
y_noise	0.2720	0.2944	0.1695	0.1025	0.5664
