#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6076.1488	159.3474	153.9457	5922.2030	6235.4961
logg	4.0048	0.3700	0.3064	3.6984	4.3748
[Fe/H]	-0.1229	0.3590	0.2359	-0.3588	0.2361
dist	18.7803	0.3376	0.3272	18.4531	19.1180
rad	1.6967	0.1220	0.1304	1.5663	1.8187
Av	0.0000	(FIXED)
grav_mass	0.8649	1.1736	0.4801	0.3848	2.0385
lum	3.4306	0.7397	0.5356	2.8950	4.1702
AD	0.8337	0.0681	0.0603	0.7734	0.9017
age	3.4891	2.8545	1.0979	2.3912	6.3436
iso_mass	1.2835	0.0896	0.2310	1.0525	1.3731
eep	392.3451	67.8012	25.0772	367.2679	460.1463
H_noise	0.3380	1.5254	0.4459	-0.1079	1.8635
Ks_noise	0.3378	1.9088	0.4916	-0.1538	2.2466
U_noise	0.0654	0.2757	0.0794	-0.0140	0.3412
V_noise	0.0057	0.0224	0.0065	-0.0008	0.0280
B_noise	0.0063	0.0228	0.0068	-0.0004	0.0292
BT_noise	0.0204	0.1035	0.0277	-0.0074	0.1239
VT_noise	0.0140	0.0741	0.0188	-0.0048	0.0881
b_noise	0.1107	0.5036	0.1486	-0.0378	0.6143
u_noise	1.4769	0.7166	0.4743	1.0026	2.1935
v_noise	0.2256	0.6753	0.1870	0.0386	0.9009
y_noise	0.1140	0.5641	0.1516	-0.0376	0.6781
