# Filter Magnitude Uncertainty
GROUND_JOHNSON_U 10.3540 0.0539
GROUND_JOHNSON_V 7.7010 0.0120
GROUND_JOHNSON_B 9.1180 0.0120
TYCHO_B_MvB 9.5490 0.0230
TYCHO_V_MvB 7.8820 0.0130
STROMGREN_b 8.5790 0.0061
STROMGREN_u 11.6220 0.0105
STROMGREN_v 10.0620 0.0066
STROMGREN_y 7.7210 0.0060
GaiaDR2v2_G 7.0477 0.0004
GaiaDR2v2_RP 6.1250 0.0010
GaiaDR2v2_BP 7.9779 0.0015
TESS 6.0460 0.0320
