#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4517.4572	56.7128	123.6049	4393.8523	4574.1700
logg	4.8338	0.6309	0.9059	3.9279	5.4647
[Fe/H]	0.3322	0.2191	0.9496	-0.6174	0.5514
dist	54.4333	0.3658	0.4100	54.0233	54.7991
rad	0.6941	0.0413	0.0195	0.6747	0.7354
Av	0.0114	0.0551	0.0656	-0.0542	0.0665
grav_mass	0.2956	2.5526	0.2618	0.0338	2.8482
lum	0.1792	0.0235	0.0202	0.1590	0.2027
AD	0.1188	0.0070	0.0035	0.1153	0.1258
age	1.2264	8.0819	1.1674	0.0590	9.3082
iso_mass	0.7439	0.0317	0.0376	0.7063	0.7756
eep	330.1266	16.2435	56.0662	274.0604	346.3700
H_noise	0.0649	0.3365	0.0830	-0.0181	0.4014
J_noise	0.0390	0.1281	0.0448	-0.0059	0.1671
Ks_noise	0.0541	0.1666	0.0564	-0.0023	0.2207
V_noise	0.0948	0.3024	0.0918	0.0030	0.3972
B_noise	0.0975	0.1002	0.0594	0.0381	0.1976
BT_noise	0.2517	1.1822	0.3176	-0.0659	1.4339
VT_noise	0.0835	0.3719	0.1108	-0.0273	0.4555
G_noise	0.0026	0.0053	0.0025	0.0001	0.0079
RP_noise	0.0092	0.0075	0.0084	0.0008	0.0166
BP_noise	0.0134	0.0131	0.0138	-0.0005	0.0264
SDSS_g_noise	0.0886	0.1399	0.0626	0.0260	0.2285
SDSS_i_noise	0.0625	0.1377	0.0561	0.0064	0.2002
SDSS_r_noise	0.0559	0.2165	0.0649	-0.0091	0.2723
W1_noise	0.0463	0.1553	0.0562	-0.0099	0.2016
W2_noise	0.0408	0.1591	0.0465	-0.0057	0.1998
