# Filter Magnitude Uncertainty
2MASS_H 8.1980 0.0380
2MASS_J 8.7820 0.0300
2MASS_Ks 8.1190 0.0300
GROUND_JOHNSON_V 10.8270 0.0380
GROUND_JOHNSON_B 11.9740 0.0300
TYCHO_B_MvB 12.2210 0.1500
TYCHO_V_MvB 10.9960 0.0670
GaiaDR2v2_G 10.4785 0.0300
GaiaDR2v2_RP 9.7318 0.0300
GaiaDR2v2_BP 11.1396 0.0300
SDSS_g 11.4250 0.0300
SDSS_i 10.0690 0.0300
SDSS_r 10.4120 0.0300
WISE_RSR_W1 8.0460 0.0300
WISE_RSR_W2 8.1230 0.0300
