# Filter Magnitude Uncertainty
2MASS_J 5.3350 0.0300
2MASS_Ks 4.5480 0.0300
GROUND_JOHNSON_V 9.1510 0.0300
GROUND_JOHNSON_B 10.6490 0.0300
TYCHO_B_MvB 11.0770 0.0580
TYCHO_V_MvB 9.3270 0.0300
