#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3795.9646	134.5304	90.4601	3705.5045	3930.4950
logg	4.8792	0.1495	0.1628	4.7164	5.0287
[Fe/H]	-0.0566	0.1771	0.1743	-0.2309	0.1205
dist	4.5492	0.0029	0.0028	4.5464	4.5521
rad	0.2440	0.0286	0.0319	0.2121	0.2725
Av	0.0000	(FIXED)
grav_mass	0.1517	0.0803	0.0561	0.0956	0.2320
lum	0.0110	0.0034	0.0028	0.0082	0.0144
AD	0.4987	0.0584	0.0652	0.4335	0.5571
age	2.0976	9.8603	1.8460	0.0265	13.443663664677247
iso_mas	0.4222	0.0513	0.0226	0.2252	0.5319427451279526
eep	308.8324	10.9658	48.4804	148.3853	320.9525003934645
J_noise	0.3345	0.0964	0.0731	0.2615	0.4309
Ks_noise	0.3346	0.0931	0.0812	0.2533	0.4277
V_noise	0.0750	0.0653	0.0439	0.0311	0.1403
B_noise	0.0911	0.0645	0.0511	0.0401	0.1556
BT_noise	0.3447	0.2640	0.1695	0.1752	0.6087
VT_noise	0.0932	0.1126	0.0587	0.0345	0.2058
