#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5343.2369	68.0028	61.2025	5282.0343	5411.2397
logg	4.2390	0.6079	0.3497	3.8893	4.8468
[Fe/H]	-0.1005	0.2770	0.3662	-0.4667	0.1764
dist	86.8904	1.3821	1.1694	85.7209	88.2724
rad	0.9141	0.0298	0.0320	0.8821	0.9439
Av	0.0273	0.0288	0.0269	0.0004	0.0561
grav_mass	0.3976	1.0367	0.2199	0.1777	1.4343
lum	0.6133	0.0518	0.0508	0.5625	0.6651
AD	0.0976	0.0036	0.0036	0.0940	0.1012
age	0.9834	4.9000	0.9440	0.0394	13.435700942468486
iso_mas	0.9679	0.0566	0.0743	0.7815	1.1131888843121753
eep	337.1172	22.0591	57.4874	194.7356	393.93610289134256
H_noise	0.1483	0.1339	0.0865	0.0618	0.2822
J_noise	0.0737	0.0868	0.0427	0.0310	0.1605
Ks_noise	0.1376	0.0996	0.0743	0.0633	0.2372
V_noise	0.0825	0.0642	0.0373	0.0452	0.1467
B_noise	0.1488	0.1384	0.0724	0.0764	0.2873
BT_noise	0.2869	0.3119	0.1660	0.1209	0.5988
VT_noise	0.1731	0.2252	0.1055	0.0675	0.3982
G_noise	0.0026	0.0016	0.0013	0.0013	0.0042
RP_noise	0.0176	0.0085	0.0066	0.0110	0.0261
BP_noise	0.0107	0.0063	0.0052	0.0055	0.0170
SDSS_g_noise	0.2887	0.4738	0.1951	0.0936	0.7625
SDSS_i_noise	0.0427	0.0160	0.0113	0.0314	0.0587
SDSS_r_noise	0.2101	0.2278	0.1346	0.0755	0.4378
