#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5347.3446	128.5097	122.5785	5224.7661	5475.8543
logg	4.1305	1.0928	0.6382	3.4924	5.2234
[Fe/H]	0.0652	0.4352	0.9562	-0.8910	0.5004
dist	86.5570	2.9292	1.9843	84.5728	89.4862
rad	0.9083	0.0603	0.0546	0.8538	0.9687
Av	0.0313	0.0543	0.0594	-0.0281	0.0856
grav_mass	0.2457	1.6935	0.1935	0.0521	1.9392
lum	0.6123	0.0986	0.0968	0.5155	0.7109
AD	0.0978	0.0064	0.0072	0.0906	0.1042
age	0.9834	4.9000	0.9440	0.0394	5.8834
iso_mass	0.9679	0.0566	0.0743	0.8936	1.0245
eep	337.1172	22.0591	57.4874	279.6298	359.1763
H_noise	0.0619	0.2823	0.0762	-0.0143	0.3442
J_noise	0.0430	0.1424	0.0503	-0.0072	0.1855
Ks_noise	0.0962	0.2075	0.1009	-0.0047	0.3036
V_noise	0.0500	0.1333	0.0417	0.0083	0.1833
B_noise	0.1125	0.2265	0.1040	0.0086	0.3391
BT_noise	0.1315	0.6052	0.1559	-0.0243	0.7367
VT_noise	0.0716	0.4238	0.0973	-0.0256	0.4955
G_noise	0.0023	0.0032	0.0022	0.0001	0.0055
RP_noise	0.0159	0.0157	0.0108	0.0051	0.0317
BP_noise	0.0081	0.0135	0.0079	0.0002	0.0216
SDSS_g_noise	0.1297	0.7409	0.1950	-0.0653	0.8706
SDSS_i_noise	0.0384	0.0303	0.0178	0.0206	0.0686
SDSS_r_noise	0.0865	0.4421	0.1206	-0.0340	0.5286
