#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3600.7432	180.7972	111.7656	3488.9777	3781.5405
logg	4.8816	0.6081	0.8545	4.0271	5.4897
[Fe/H]	-0.3059	0.7604	0.5656	-0.8715	0.4546
dist	46.0430	0.3130	0.2100	45.8331	46.3560
rad	0.5961	0.0275	0.0657	0.5305	0.6236
Av	0.0000	(FIXED)
grav_mass	0.2787	1.8334	0.2529	0.0258	2.1121
lum	0.0506	0.0135	0.0098	0.0408	0.0641
AD	0.1205	0.0054	0.0135	0.1070	0.1258
age	3.4776	8.7031	3.0664	0.4112	12.1806
iso_mass	0.5509	0.0164	0.0178	0.5331	0.5673
eep	318.9841	10.6650	46.2152	272.7690	329.6492
H_noise	0.0643	0.3439	0.0812	-0.0168	0.4082
J_noise	0.1305	0.1581	0.1314	-0.0009	0.2886
Ks_noise	0.0576	0.1520	0.0617	-0.0041	0.2096
V_noise	0.2119	1.1642	0.2911	-0.0791	1.3761
B_noise	0.0901	0.3510	0.1017	-0.0116	0.4411
G_noise	0.0027	0.0044	0.0026	0.0001	0.0071
RP_noise	0.0124	0.0106	0.0112	0.0012	0.0230
BP_noise	0.0077	0.0241	0.0081	-0.0004	0.0318
SDSS_g_noise	0.1577	0.2413	0.1316	0.0261	0.3990
SDSS_i_noise	0.4410	2.2068	0.6111	-0.1702	2.6477
SDSS_r_noise	0.2028	1.0635	0.3094	-0.1065	1.2664
W1_noise	0.1345	0.1714	0.1399	-0.0055	0.3058
W2_noise	0.1099	0.1808	0.0893	0.0206	0.2907
