#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3303.6876	53.9284	120.6969	3182.9907	3357.6161
logg	5.1550	0.3839	1.4620	3.6930	5.5389
[Fe/H]	0.0477	0.3927	0.9879	-0.9401	0.4404
dist	22.0329	0.2264	0.2120	21.8209	22.2592
rad	0.4471	0.0305	0.0175	0.4296	0.4776
Av	0.0000	(FIXED)
grav_mass	0.0680	1.7761	0.0546	0.0133	1.8441
lum	0.0211	0.0034	0.0032	0.0179	0.0245
AD	0.1886	0.0130	0.0077	0.1809	0.2016
age	1.9595	10.1330	1.6213	0.3382	12.0925
iso_mass	0.4273	0.0146	0.0107	0.4165	0.4419
eep	305.9144	12.5151	42.9089	263.0055	318.4295
H_noise	0.0884	0.3034	0.0969	-0.0085	0.3919
J_noise	0.0372	0.1894	0.0474	-0.0102	0.2266
Ks_noise	0.0497	0.2067	0.0604	-0.0108	0.2563
V_noise	0.0379	0.1654	0.0513	-0.0134	0.2034
B_noise	0.0859	0.1960	0.0888	-0.0030	0.2819
G_noise	0.0072	0.0124	0.0068	0.0004	0.0196
RP_noise	0.0171	0.0109	0.0112	0.0059	0.0280
BP_noise	0.0134	0.0182	0.0126	0.0007	0.0315
SDSS_g_noise	0.1735	0.1670	0.1152	0.0583	0.3405
SDSS_i_noise	0.1327	0.2602	0.0867	0.0459	0.3928
SDSS_r_noise	0.0621	0.3529	0.0868	-0.0247	0.4149
W1_noise	0.0514	0.2115	0.0609	-0.0094	0.2630
W2_noise	0.1267	0.1680	0.0840	0.0427	0.2947
