# Filter Magnitude Uncertainty
2MASS_H 9.0210 0.0300
2MASS_J 9.4820 0.0300
2MASS_Ks 8.9070 0.0300
GROUND_JOHNSON_V 11.1150 0.0300
GROUND_JOHNSON_B 12.0680 0.0300
TYCHO_B_MvB 12.0380 0.1230
TYCHO_V_MvB 11.1190 0.0820
GaiaDR2v2_G 10.8575 0.0300
GaiaDR2v2_RP 10.2222 0.0300
GaiaDR2v2_BP 11.3715 0.0300
SDSS_g 11.5730 0.0300
SDSS_i 10.5310 0.0300
SDSS_r 10.7810 0.0310
WISE_RSR_W1 8.8480 0.0300
WISE_RSR_W2 8.9140 0.0300
