#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4934.6489	42.7173	39.9162	4894.7327	4977.3662
logg	4.5629	0.3418	0.4592	4.1036	4.9047
[Fe/H]	0.0302	0.2318	0.2624	-0.2322	0.2620
dist	94.9656	1.0264	1.1148	93.8507	95.9919
rad	0.7941	0.0154	0.0163	0.7778	0.8096
Av	0.0068	0.0343	0.0261	-0.0193	0.0412
grav_mass	0.5316	0.9532	0.3349	0.1967	1.4848
lum	0.3366	0.0181	0.0172	0.3194	0.3548
AD	0.0778	0.0018	0.0018	0.0760	0.0796
age	1.0779	7.4917	1.0318	0.0461	13.414525874421805
iso_mas	0.8509	0.0382	0.0587	0.7329	0.9361851652219046
eep	337.6829	18.0031	52.2090	193.0579	372.48889762059684
H_noise	0.1263	0.0841	0.0642	0.0621	0.2104
J_noise	0.0806	0.0806	0.0504	0.0303	0.1613
Ks_noise	0.0926	0.0952	0.0537	0.0390	0.1878
V_noise	0.0729	0.0644	0.0436	0.0293	0.1373
B_noise	0.0932	0.0771	0.0506	0.0426	0.1703
BT_noise	0.4779	0.4298	0.2410	0.2369	0.9077
VT_noise	0.3522	0.3722	0.2158	0.1364	0.7244
G_noise	0.0024	0.0014	0.0011	0.0014	0.0038
RP_noise	0.0044	0.0029	0.0021	0.0023	0.0072
BP_noise	0.0160	0.0049	0.0049	0.0110	0.0209
SDSS_g_noise	0.0973	0.0899	0.0573	0.0400	0.1873
SDSS_i_noise	0.1293	0.1020	0.0626	0.0666	0.2313
SDSS_r_noise	0.1286	0.1336	0.0749	0.0537	0.2623
W1_noise	0.0958	0.0859	0.0564	0.0395	0.1817
W2_noise	0.0980	0.0853	0.0530	0.0450	0.1833
