#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4920.7661	44.0982	42.6282	4878.1379	4964.8643
logg	4.4222	0.3863	0.4139	4.0082	4.8085
[Fe/H]	0.0308	0.2402	0.2778	-0.2470	0.2710
dist	68.1061	0.3453	0.3395	67.7667	68.4515
rad	0.7284	0.0129	0.0127	0.7157	0.7413
Av	0.0211	0.0299	0.0327	-0.0116	0.0510
grav_mass	0.3630	0.6045	0.2216	0.1414	0.9675
lum	0.2804	0.0140	0.0138	0.2667	0.2945
AD	0.0995	0.0017	0.0019	0.0976	0.1013
age	0.9106	7.3651	0.8533	0.0573	13.440253511958081
iso_mas	0.7745	0.0366	0.0388	0.6968	0.8603278258536913
eep	333.1796	18.1716	51.3080	200.0994	359.3680907312625
H_noise	0.1971	0.1851	0.1130	0.0841	0.3822
J_noise	0.1109	0.1162	0.0701	0.0408	0.2271
Ks_noise	0.1268	0.1437	0.0801	0.0467	0.2705
V_noise	0.1653	0.1697	0.1046	0.0607	0.3350
B_noise	0.2031	0.1395	0.0902	0.1130	0.3427
BT_noise	0.3784	0.3813	0.2288	0.1496	0.7597
VT_noise	0.1717	0.2240	0.1090	0.0627	0.3957
G_noise	0.0049	0.0024	0.0022	0.0027	0.0073
RP_noise	0.0086	0.0048	0.0042	0.0044	0.0134
BP_noise	0.0117	0.0061	0.0048	0.0069	0.0178
SDSS_g_noise	0.1016	0.0880	0.0552	0.0464	0.1896
SDSS_i_noise	0.0889	0.0451	0.0329	0.0561	0.1340
SDSS_r_noise	0.0476	0.0401	0.0266	0.0210	0.0877
W1_noise	0.0959	0.0929	0.0569	0.0390	0.1887
W2_noise	0.0693	0.0796	0.0378	0.0315	0.1489
