#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4912.2995	103.6914	81.0089	4831.2906	5015.9909
logg	4.3482	0.8901	0.7877	3.5605	5.2383
[Fe/H]	0.1891	0.3189	0.6981	-0.5090	0.5080
dist	68.0664	0.7258	0.6627	67.4037	68.7921
rad	0.7297	0.0240	0.0273	0.7024	0.7537
Av	0.0292	0.0485	0.0724	-0.0432	0.0777
grav_mass	0.2071	1.1677	0.1668	0.0402	1.3748
lum	0.2800	0.0299	0.0281	0.2519	0.3100
AD	0.0994	0.0037	0.0037	0.0958	0.1031
age	0.9106	7.3651	0.8533	0.0573	8.2757
iso_mass	0.7745	0.0366	0.0388	0.7356	0.8111
eep	333.1796	18.1716	51.3080	281.8716	351.3512
H_noise	0.0929	0.3769	0.1060	-0.0131	0.4698
J_noise	0.0440	0.2302	0.0612	-0.0171	0.2742
Ks_noise	0.0503	0.2650	0.0687	-0.0184	0.3153
V_noise	0.0652	0.3403	0.0882	-0.0230	0.4056
B_noise	0.1444	0.2830	0.1176	0.0269	0.4274
BT_noise	0.1654	0.7644	0.2031	-0.0376	0.9299
VT_noise	0.0769	0.3800	0.1042	-0.0273	0.4569
G_noise	0.0036	0.0060	0.0032	0.0004	0.0096
RP_noise	0.0065	0.0113	0.0064	0.0001	0.0177
BP_noise	0.0127	0.0103	0.0118	0.0009	0.0231
SDSS_g_noise	0.0621	0.1694	0.0642	-0.0021	0.2315
SDSS_i_noise	0.0654	0.0992	0.0416	0.0238	0.1646
SDSS_r_noise	0.0229	0.0855	0.0247	-0.0018	0.1084
W1_noise	0.0398	0.1940	0.0485	-0.0087	0.2338
W2_noise	0.0359	0.1406	0.0399	-0.0040	0.1765
