#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5412.0398	43.7588	45.6209	5366.4189	5455.7986
logg	4.2107	0.4245	0.3446	3.8661	4.6353
[Fe/H]	-0.0433	0.2334	0.2743	-0.3176	0.1901
dist	69.1529	1.3273	1.6301	67.5228	70.4802
rad	0.8861	0.0194	0.0226	0.8636	0.9056
Av	0.0429	0.0270	0.0251	0.0178	0.0699
grav_mass	0.3511	0.6133	0.1817	0.1694	0.9644
lum	0.6031	0.0366	0.0339	0.5692	0.6397
AD	0.1193	0.0039	0.0038	0.1155	0.1231
age	0.9333	9.4207	0.8930	0.0403	13.345359834738717
iso_mas	0.9501	0.0651	0.1208	0.7463	1.1004780675918866
eep	317.4043	69.4030	48.5147	197.4651	398.2622099635802
H_noise	0.0992	0.1022	0.0550	0.0441	0.2014
J_noise	0.0855	0.1117	0.0530	0.0325	0.1972
Ks_noise	0.0800	0.0829	0.0475	0.0325	0.1628
V_noise	0.0654	0.0725	0.0378	0.0276	0.1380
B_noise	0.1103	0.0487	0.0437	0.0665	0.1590
BT_noise	0.1969	0.1592	0.1030	0.0939	0.3561
VT_noise	0.0784	0.0919	0.0474	0.0311	0.1704
G_noise	0.0024	0.0015	0.0011	0.0013	0.0039
RP_noise	0.0123	0.0048	0.0046	0.0077	0.0171
BP_noise	0.0093	0.0036	0.0030	0.0063	0.0129
SDSS_g_noise	0.1307	0.1243	0.0777	0.0530	0.2550
SDSS_i_noise	0.0871	0.0760	0.0515	0.0357	0.1631
SDSS_r_noise	0.1079	0.1720	0.0680	0.0400	0.2799
W1_noise	0.1290	0.0965	0.0654	0.0636	0.2256
W2_noise	0.1137	0.0793	0.0560	0.0577	0.1930
