#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4879.7119	66.3904	65.4809	4814.2309	4946.1022
logg	4.4523	0.2499	0.2197	4.2326	4.7022
[Fe/H]	-0.0494	0.1652	0.1927	-0.2421	0.1157
dist	9.5804	0.0468	0.0503	9.5301	9.6272
rad	1.2112	0.0540	0.0445	1.1667	1.2652
Av	0.0000	(FIXED)
grav_mass	1.4330	1.0475	0.6321	0.8009	2.4805
lum	0.7482	0.0801	0.0646	0.6836	0.8283
AD	1.1766	0.0522	0.0441	1.1325	1.2288
age	8.3927	4.4181	7.4837	0.0524	13.487048148828698
iso_mas	0.9040	0.0891	0.0698	0.7318	1.1757859799948283
eep	381.9494	18.0643	62.7948	170.3395	426.67994417615813
H_noise	1.2397	1.0474	0.5935	0.6462	2.2872
J_noise	1.1197	0.9328	0.6663	0.4534	2.0525
U_noise	0.3480	0.1303	0.0819	0.2661	0.4783
V_noise	0.0176	0.0152	0.0102	0.0075	0.0328
B_noise	0.0888	0.0178	0.0143	0.0745	0.1066
BT_noise	0.1713	0.0594	0.0435	0.1277	0.2307
VT_noise	0.0322	0.0376	0.0193	0.0129	0.0698
b_noise	0.1104	0.1501	0.0675	0.0429	0.2605
u_noise	1.0249	0.5048	0.3136	0.7113	1.5297
v_noise	0.2960	0.3129	0.1589	0.1371	0.6088
y_noise	0.0556	0.0271	0.0203	0.0352	0.0827
W1_noise	1.6127	1.6619	0.8747	0.7381	3.2746
W2_noise	1.2097	1.5936	0.7702	0.4394	2.8033
NUV_noise	0.0377	0.0294	0.0197	0.0180	0.0672
