# Filter Magnitude Uncertainty
2MASS_H 3.6480 0.2280
2MASS_J 3.9880 0.2420
GROUND_JOHNSON_U 6.3050 0.0300
GROUND_JOHNSON_V 5.3020 0.0300
GROUND_JOHNSON_B 6.0460 0.0300
TYCHO_B_MvB 6.2170 0.0300
TYCHO_V_MvB 5.3900 0.0300
STROMGREN_b 5.7750 0.0375
STROMGREN_u 7.5460 0.1292
STROMGREN_v 6.5010 0.0751
STROMGREN_y 5.3120 0.0300
WISE_RSR_W1 3.5720 0.3970
WISE_RSR_W2 3.3100 0.3850
GALEX_NUV 12.9430 0.0300
