#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3328.5010	43.7989	42.1767	3286.3243	3372.2999
logg	5.0306	0.2500	0.4772	4.5533	5.2806
[Fe/H]	-0.4989	0.3200	0.2944	-0.7933	-0.1790
dist	9.4406	0.0223	0.0198	9.4208	9.4629
rad	0.3848	0.0136	0.0101	0.3748	0.3984
Av	0.0000	(FIXED)
grav_mass	0.3373	0.5634	0.2146	0.1226	0.9007
lum	0.0164	0.0015	0.0012	0.0152	0.0179
AD	0.3790	0.0137	0.0097	0.3693	0.3927
age	8.1269	4.4140	7.3866	0.0647	13.486734556361315
iso_mas	0.3602	0.0134	0.0143	0.1873	0.42221299196445655
eep	292.1159	12.2148	34.2015	140.6522	315.9347637389918
H_noise	0.1441	0.1491	0.0845	0.0596	0.2932
J_noise	0.1417	0.1444	0.0828	0.0588	0.2861
Ks_noise	0.0801	0.0854	0.0517	0.0284	0.1655
V_noise	0.0867	0.1414	0.0594	0.0272	0.2280
B_noise	0.0939	0.0877	0.0554	0.0385	0.1816
BT_noise	0.5559	0.9373	0.3860	0.1699	1.4932
VT_noise	0.2056	0.2592	0.1259	0.0797	0.4647
G_noise	0.0085	0.0077	0.0048	0.0037	0.0162
RP_noise	0.0150	0.0097	0.0076	0.0075	0.0247
BP_noise	0.0160	0.0114	0.0092	0.0068	0.0274
