#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6200.5739	176.8093	186.4535	6014.1204	6377.3832
logg	4.0051	0.4542	0.4234	3.5817	4.4593
[Fe/H]	-0.1143	0.3054	0.2625	-0.3768	0.1911
dist	13.4423	0.4146	0.4518	12.9906	13.8570
rad	1.5604	0.1533	0.1252	1.4352	1.7137
Av	0.0000	(FIXED)
grav_mass	0.6409	1.3047	0.4049	0.2360	1.9457
lum	3.2153	0.7904	0.6101	2.6051	4.0057
AD	1.0826	0.1114	0.0941	0.9885	1.1940
age	3.6804	2.9457	1.9099	1.7705	6.6261
iso_mass	1.2393	0.0957	0.2116	1.0277	1.3350
eep	441.3865	15.1962	93.7100	347.6765	456.5828
H_noise	0.3061	1.6584	0.4381	-0.1320	1.9645
J_noise	0.3680	2.0653	0.5265	-0.1585	2.4333
Ks_noise	0.3675	1.8826	0.5424	-0.1749	2.2501
U_noise	0.0342	0.1420	0.0391	-0.0049	0.1762
V_noise	0.0105	0.0406	0.0116	-0.0011	0.0511
B_noise	0.0116	0.0436	0.0125	-0.0009	0.0553
BT_noise	0.0239	0.1109	0.0297	-0.0058	0.1348
VT_noise	0.0174	0.0706	0.0206	-0.0032	0.0880
b_noise	0.0208	0.1144	0.0281	-0.0073	0.1352
u_noise	1.1339	0.4533	0.3112	0.8227	1.5872
v_noise	0.1673	0.2385	0.1136	0.0538	0.4058
y_noise	0.0244	0.1148	0.0313	-0.0069	0.1391
