#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3437.6832	69.8582	59.8784	3377.8048	3507.5413
logg	5.3282	0.1856	0.5716	4.7566	5.5138
[Fe/H]	-0.4751	0.6863	0.4884	-0.9636	0.2112
dist	19.8881	0.0637	0.0745	19.8136	19.9518
rad	0.3377	0.0147	0.0108	0.3269	0.3525
Av	0.0000	(FIXED)
grav_mass	0.5169	0.7376	0.3977	0.1191	1.2545
lum	0.0144	0.0020	0.0014	0.0130	0.0163
AD	0.1578	0.0070	0.0050	0.1529	0.1649
age	6.6171	5.7043	6.0636	0.5535	12.3214
iso_mass	0.3319	0.0173	0.0118	0.3201	0.3492
eep	284.2264	9.4649	28.3948	255.8317	293.6914
H_noise	0.0951	0.2785	0.1096	-0.0145	0.3736
J_noise	0.0487	0.2071	0.0624	-0.0137	0.2558
Ks_noise	0.0455	0.2068	0.0558	-0.0103	0.2524
V_noise	0.0522	0.2489	0.0670	-0.0148	0.3011
B_noise	0.0925	0.5000	0.1191	-0.0266	0.5925
G_noise	0.0027	0.0056	0.0028	-0.0000	0.0084
RP_noise	0.0186	0.0109	0.0081	0.0105	0.0296
BP_noise	0.0051	0.0234	0.0058	-0.0007	0.0286
W1_noise	0.0433	0.1887	0.0557	-0.0124	0.2321
W2_noise	0.0572	0.1698	0.0605	-0.0033	0.2269
