#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4341.9667	67.8638	142.1908	4199.7759	4409.8305
logg	4.9230	0.5590	0.6473	4.2757	5.4820
[Fe/H]	0.2102	0.3437	0.9500	-0.7397	0.5540
dist	56.4440	0.7956	0.9979	55.4461	57.2396
rad	0.6479	0.0405	0.0262	0.6217	0.6884
Av	0.0181	0.0545	0.0761	-0.0579	0.0726
grav_mass	0.6106	2.6045	0.5705	0.0401	3.2151
lum	0.1335	0.0197	0.0200	0.1135	0.1532
AD	0.1070	0.0070	0.0046	0.1024	0.1140
age	1.4608	8.3473	1.3912	0.0696	9.8082
iso_mass	0.6872	0.0306	0.0293	0.6579	0.7178
eep	323.3253	18.6656	50.9519	272.3734	341.9908
H_noise	0.0624	0.2830	0.0748	-0.0124	0.3453
J_noise	0.0308	0.1584	0.0411	-0.0103	0.1892
Ks_noise	0.0396	0.1716	0.0473	-0.0077	0.2112
V_noise	0.0349	0.1576	0.0441	-0.0092	0.1925
B_noise	0.0458	0.2631	0.0561	-0.0103	0.3089
G_noise	0.0081	0.0113	0.0076	0.0005	0.0194
RP_noise	0.0042	0.0077	0.0041	0.0001	0.0119
BP_noise	0.0180	0.0156	0.0165	0.0015	0.0336
PS1_g_noise	0.1031	0.6583	0.1393	-0.0362	0.7614
PS1_i_noise	0.2163	0.1393	0.0796	0.1367	0.3556
PS1_r_noise	1.8752	0.4551	0.3337	1.5414	2.3303
PS1_y_noise	0.4774	0.5782	0.2330	0.2444	1.0556
PS1_z_noise	0.2886	0.4302	0.1630	0.1256	0.7188
SDSS_g_noise	0.0588	0.1003	0.0517	0.0071	0.1591
SDSS_i_noise	0.0775	0.2816	0.0776	-0.0001	0.3591
SDSS_r_noise	0.0816	0.1952	0.0662	0.0154	0.2768
W1_noise	0.0329	0.1773	0.0419	-0.0090	0.2102
W2_noise	0.0405	0.1855	0.0470	-0.0065	0.2260
