#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4317.4893	49.9684	75.9936	4241.4957	4367.4577
logg	4.9454	0.3662	0.5049	4.4405	5.3116
[Fe/H]	0.1054	0.2840	0.6016	-0.4963	0.3893
dist	56.3433	0.6408	0.6513	55.6920	56.9841
rad	0.6530	0.0237	0.0178	0.6352	0.6767
Av	0.0126	0.0433	0.0508	-0.0382	0.0560
grav_mass	0.9402	1.6491	0.7398	0.2004	2.5892
lum	0.1332	0.0115	0.0115	0.1217	0.1447
AD	0.1080	0.0040	0.0034	0.1047	0.1120
age	1.4608	8.3473	1.3912	0.0696	13.443284079611198
iso_mas	0.6872	0.0306	0.0293	0.6254	0.7596688886052773
eep	323.3253	18.6656	50.9519	193.6753	344.0087429967228
H_noise	0.1201	0.1948	0.0880	0.0321	0.3149
J_noise	0.0534	0.1171	0.0383	0.0151	0.1705
Ks_noise	0.0668	0.1241	0.0474	0.0194	0.1909
V_noise	0.0549	0.1233	0.0411	0.0138	0.1783
B_noise	0.0826	0.1907	0.0620	0.0206	0.2733
G_noise	0.0095	0.0073	0.0061	0.0033	0.0167
RP_noise	0.0048	0.0053	0.0032	0.0016	0.0101
BP_noise	0.0183	0.0107	0.0111	0.0072	0.0290
PS1_g_noise	0.1863	0.5029	0.1419	0.0444	0.6892
PS1_i_noise	0.2217	0.1049	0.0555	0.1663	0.3266
PS1_r_noise	1.9033	0.3215	0.2541	1.6493	2.2248
PS1_y_noise	0.5453	0.4122	0.1927	0.3526	0.9575
PS1_z_noise	0.3473	0.2890	0.1489	0.1984	0.6363
SDSS_g_noise	0.0708	0.0714	0.0421	0.0287	0.1422
SDSS_i_noise	0.1143	0.2086	0.0758	0.0384	0.3228
SDSS_r_noise	0.1126	0.1327	0.0674	0.0452	0.2453
W1_noise	0.0586	0.1311	0.0417	0.0168	0.1896
W2_noise	0.0762	0.1171	0.0508	0.0254	0.1933
