#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4263.6452	189.4247	132.2966	4131.3486	4453.0700
logg	4.6975	0.3004	0.4438	4.2536	4.9979
[Fe/H]	-0.1151	0.3352	0.3525	-0.4676	0.2201
dist	5.1225	0.0191	0.0209	5.1016	5.1416
rad	0.7400	0.0617	0.0733	0.6668	0.8017
Av	0.0060	0.0701	0.0773	-0.0713	0.0761
grav_mass	0.6069	1.0378	0.3459	0.2610	1.6447
lum	0.1635	0.0410	0.0366	0.1269	0.2044
AD	1.3433	0.1145	0.1309	1.2124	1.4578
age	1.0939	10.0926	1.0813	0.0126	11.1865
iso_mass	0.7000	0.0533	0.0458	0.6542	0.7534
eep	334.4700	12.8637	51.4549	283.0152	347.3338
U_noise	0.8312	0.9677	0.4424	0.3889	1.7989
V_noise	0.7850	0.9910	0.4535	0.3315	1.7761
B_noise	0.8106	1.0161	0.4299	0.3807	1.8267
b_noise	0.8029	0.9954	0.4408	0.3620	1.7983
u_noise	0.7372	0.9882	0.4175	0.3197	1.7254
v_noise	0.8732	0.9578	0.4918	0.3814	1.8310
y_noise	0.7875	0.9336	0.4401	0.3474	1.7212
G_noise	0.0182	0.0172	0.0177	0.0005	0.0354
RP_noise	0.0119	0.0552	0.0129	-0.0011	0.0671
BP_noise	0.0282	0.0293	0.0280	0.0002	0.0575
TESS_noise	0.0120	0.0669	0.0143	-0.0023	0.0789
