# Filter Magnitude Uncertainty
GROUND_JOHNSON_U 5.6000 0.0000
GROUND_JOHNSON_V 4.2500 0.0000
GROUND_JOHNSON_B 5.0300 0.0000
STROMGREN_b 4.5240 0.0000
STROMGREN_u 6.5820 0.0000
STROMGREN_v 5.4220 0.0000
STROMGREN_y 4.0160 0.0000
GaiaDR2v2_G 5.5031 0.0019
GaiaDR2v2_RP 4.7531 0.0048
GaiaDR2v2_BP 6.2304 0.0030
TESS 4.7984 0.0066
