#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4291.2400	65.0579	62.2293	4229.0107	4356.2978
logg	4.6444	0.1721	0.1966	4.4478	4.8165
[Fe/H]	-0.1212	0.1695	0.1727	-0.2939	0.0483
dist	5.1211	0.0106	0.0092	5.1118	5.1317
rad	0.7347	0.0285	0.0269	0.7078	0.7632
Av	0.0026	0.0370	0.0358	-0.0332	0.0396
grav_mass	0.7836	0.4475	0.2735	0.5101	1.2311
lum	0.1649	0.0166	0.0156	0.1493	0.1815
AD	1.3351	0.0515	0.0496	1.2856	1.3866
age	1.0939	10.0926	1.0813	0.0126	13.43928894410467
iso_mas	0.7000	0.0533	0.0458	0.5926	0.8172461876524302
eep	334.4700	12.8637	51.4549	166.0166	348.55887478356647
U_noise	1.0466	0.4453	0.3319	0.7146	1.4919
V_noise	1.0157	0.4394	0.3603	0.6553	1.4551
B_noise	1.0652	0.4354	0.3582	0.7070	1.5007
b_noise	1.0252	0.4425	0.3466	0.6785	1.4677
u_noise	0.9635	0.4568	0.3184	0.6451	1.4204
v_noise	1.0471	0.4567	0.3307	0.7164	1.5038
y_noise	0.9790	0.4503	0.3237	0.6553	1.4293
G_noise	0.0184	0.0089	0.0083	0.0100	0.0273
RP_noise	0.0301	0.0218	0.0165	0.0136	0.0518
BP_noise	0.0278	0.0152	0.0133	0.0146	0.0430
TESS_noise	0.0335	0.0284	0.0199	0.0136	0.0619
