#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3389.1159	111.7811	41.6206	3347.4953	3500.8969
logg	4.8339	0.0835	0.0908	4.7431	4.9174
[Fe/H]	0.1876	0.2279	0.2053	-0.0177	0.4155
dist	4.5502	0.0033	0.0039	4.5464	4.5535
rad	0.4384	0.0134	0.0436	0.3947	0.4518
Av	0.0000	(FIXED)
grav_mass	0.4465	0.1214	0.1046	0.3419	0.5679
lum	0.0228	0.0032	0.0044	0.0184	0.0260
AD	0.8961	0.0274	0.0892	0.8069	0.9235
age	3.4357	9.0159	2.5695	0.0547	13.488441086358845
iso_mas	0.4591	0.0350	0.0414	0.1535	0.5406349996632209
eep	311.8596	9.6461	41.3405	121.0043	325.63972989532095
J_noise	0.0795	0.1023	0.0534	0.0261	0.1818
Ks_noise	0.1027	0.1147	0.0717	0.0311	0.2174
V_noise	0.0549	0.1163	0.0281	0.0268	0.1712
B_noise	0.0841	0.1001	0.0406	0.0435	0.1842
BT_noise	0.3211	0.3484	0.1487	0.1724	0.6695
VT_noise	0.0789	0.0985	0.0441	0.0348	0.1774
G_noise	0.0068	0.0075	0.0049	0.0020	0.0143
RP_noise	0.0316	0.0163	0.0095	0.0221	0.0479
BP_noise	0.0313	0.0515	0.0149	0.0164	0.0828
