#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5408.3543	43.2681	50.1910	5358.1634	5451.6224
logg	4.2536	0.4057	0.3760	3.8775	4.6593
[Fe/H]	-0.2297	0.2627	0.2586	-0.4884	0.0330
dist	97.5436	1.3839	1.2435	96.3001	98.9275
rad	0.8066	0.0170	0.0154	0.7912	0.8237
Av	0.0209	0.0309	0.0319	-0.0109	0.0518
grav_mass	0.3130	0.5322	0.1743	0.1387	0.8452
lum	0.5016	0.0264	0.0269	0.4747	0.5281
AD	0.0770	0.0018	0.0019	0.0751	0.0788
age	0.9747	7.1115	0.9313	0.0434	12.657943488273556
iso_mas	0.8630	0.0455	0.0706	0.7312	0.9650429985641464
eep	345.9918	13.7706	55.6811	199.9037	378.3227537624383
H_noise	0.1220	0.2037	0.0783	0.0437	0.3257
J_noise	0.0895	0.0838	0.0514	0.0381	0.1733
Ks_noise	0.1003	0.0974	0.0638	0.0365	0.1977
V_noise	0.0381	0.0385	0.0237	0.0143	0.0766
B_noise	0.1418	0.1041	0.0631	0.0787	0.2459
BT_noise	0.3713	0.3335	0.2109	0.1603	0.7048
VT_noise	0.2282	0.2061	0.1293	0.0990	0.4343
G_noise	0.0030	0.0017	0.0013	0.0017	0.0047
RP_noise	0.0062	0.0038	0.0028	0.0034	0.0100
BP_noise	0.0078	0.0036	0.0029	0.0049	0.0113
SDSS_g_noise	0.0667	0.0341	0.0224	0.0443	0.1007
SDSS_i_noise	0.1207	0.1375	0.0756	0.0451	0.2582
SDSS_r_noise	0.1086	0.1298	0.0681	0.0405	0.2384
W1_noise	0.1117	0.0870	0.0642	0.0476	0.1987
W2_noise	0.0662	0.0696	0.0404	0.0258	0.1358
