#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5404.0727	96.5743	92.9974	5311.0753	5500.6470
logg	3.8515	1.2179	0.3717	3.4798	5.0695
[Fe/H]	-0.1516	0.4411	0.6003	-0.7520	0.2894
dist	97.6965	2.5728	2.5350	95.1615	100.2693
rad	0.8012	0.0384	0.0251	0.7760	0.8395
Av	0.0235	0.0588	0.0641	-0.0405	0.0824
grav_mass	0.1872	0.9590	0.1421	0.0452	1.1462
lum	0.4999	0.0539	0.0514	0.4484	0.5538
AD	0.0772	0.0034	0.0038	0.0733	0.0806
age	0.9747	7.1115	0.9313	0.0434	8.0862
iso_mass	0.8630	0.0455	0.0706	0.7924	0.9085
eep	345.9918	13.7706	55.6811	290.3107	359.7624
H_noise	0.0544	0.3121	0.0804	-0.0260	0.3665
J_noise	0.0516	0.1556	0.0563	-0.0047	0.2073
Ks_noise	0.0403	0.1968	0.0521	-0.0118	0.2371
V_noise	0.0160	0.0808	0.0213	-0.0053	0.0967
B_noise	0.1019	0.2022	0.0831	0.0189	0.3041
BT_noise	0.2012	0.6585	0.2041	-0.0028	0.8597
VT_noise	0.1218	0.3990	0.1254	-0.0035	0.5208
G_noise	0.0028	0.0032	0.0025	0.0003	0.0060
RP_noise	0.0035	0.0093	0.0030	0.0006	0.0128
BP_noise	0.0074	0.0067	0.0058	0.0016	0.0142
SDSS_g_noise	0.0618	0.0584	0.0396	0.0222	0.1202
SDSS_i_noise	0.0610	0.2364	0.0736	-0.0126	0.2974
SDSS_r_noise	0.0425	0.2413	0.0581	-0.0156	0.2838
W1_noise	0.0498	0.2069	0.0536	-0.0039	0.2566
W2_noise	0.0286	0.1322	0.0354	-0.0068	0.1609
