source_id,l,b,distance,distance[pc][stilism],reddening[mag][stilism],distance_uncertainty[pc][stilism],reddening_uncertainty_min[mag][stilism],reddening_uncertainty_max[mag][stilism],Green2015_EBV,Green2019_EBV,,,,
167415965,281.5367178,-26.62843614,38.96972,38.97,0.001,12,0.015,0.015,0.025051754,nan,,,,
168871868,230.9573596,-44.59890532,260.8627,260.863,0.007,31,0.014,0.014,0.000332719,0.059694383,,,,
170889511,234.9571671,30.20063268,32.29713,32.297,0,13,0.014,0.014,nan,0,,,,
176778112,237.6777932,-59.13959795,110.847,110.847,0.001,15,0.014,0.014,0.000656272,nan,,,,
179034327,224.7921623,-44.58125087,57.5111,57.511,0.001,14,0.014,0.014,nan,0,,,,
183537452,343.3206401,-72.18171176,87.5814,87.581,0.002,13,0.015,0.015,0.017891973,nan,,,,
188570092,43.77781437,-57.171097,127.048,127.048,0.01,15,0.014,0.014,nan,0,,,,
200807066,263.3579036,-51.07999846,110.7414,110.741,0.001,16,0.013,0.013,nan,nan,,,,
201793781,279.0877973,-58.04065117,76.18808,76.188,0.001,13,0.015,0.015,0.006418617,nan,,,,
204376737,38.73105162,-67.19550615,200.3887,200.389,0.009,24,0.015,0.015,nan,0,,,,
207141131,273.9281903,-53.27788229,38.65826,38.658,0.001,13,0.014,0.014,0.018297274,nan,,,,
209459275,228.9147127,-60.18390284,233.8143,233.814,0.006,31,0.015,0.015,nan,nan,,,,
219205407,259.444706,-26.94989024,167.1973,167.197,0.003,20,0.014,0.014,nan,nan,,,,
219229644,259.2174742,-45.32303993,53.86343,53.863,0.001,14,0.014,0.014,nan,nan,,,,
219239945,262.8854738,-43.9481105,217.3871,217.387,0.004,28,0.013,0.013,nan,nan,,,,
219338557,319.7766504,-55.69239795,48.5198,48.52,0.002,12,0.015,0.015,nan,nan,,,,
219344917,257.5279986,-38.21388416,67.94806,67.948,0.001,14,0.014,0.014,nan,nan,,,,
219388773,257.764367,-36.74619764,106.8628,106.863,0.001,15,0.013,0.013,nan,nan,,,,
224225541,356.7337553,-70.48424207,101.178,101.178,0.002,14,0.015,0.015,nan,nan,,,,
230982885,289.6419135,-60.12745628,151.1599,151.16,0.003,17,0.015,0.015,nan,nan,,,,
231728511,258.4112121,-33.99159185,38.03862,38.039,0,14,0.014,0.014,nan,nan,,,,
231912935,307.010939,-53.16175476,167.5879,167.588,0.005,18,0.016,0.016,nan,nan,,,,
234345288,291.9887823,-43.22358554,54.34059,54.341,0.002,12,0.015,0.015,nan,nan,,,,
234994474,321.9545964,-53.56037354,25.19254,25.193,0.001,12,0.015,0.015,nan,nan,,,,
237913194,294.6131765,-55.76467977,309.4534,309.453,0.011,52,0.014,0.014,nan,nan,,,,
237928815,272.6231077,-45.18831055,120.7832,120.783,0.002,15,0.014,0.014,nan,nan,,,,
238176110,310.2213126,-46.11605689,151.5664,151.566,0.005,15,0.016,0.016,0.03684631,nan,,,,
