TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
123664207,2493.01,STPC,,2917842382508546560,92.96094,10.77421,DR3,89.74625,33.25865,-21.5751,113.1468,0.001,0.014,0.014,0.00331,0.04634,4500,250,4,0.5,0,0.5,TRES,,,N,227.2446079,-20.82101023
124573851,669.01,VPC?,,3777506754255516800,142.837,7.017989,DR3,158.9007,9.723302,-5.18136,72.18914,0.009,0.016,0.016,0.02979,0.05296,5750,250,4.5,0.5,0,0.5,TRES,,,N,252.3369853,43.94698573
129839175,2440.01,APC,,4856951641990246400,215.9818,4.64702,DR3,55.27003,39.50442,-36.9437,31.52095,0.004,0.014,0.014,0.01324,0.04634,,,,,,,,,,N,239.1836336,-53.05741035
130924120,757.01,CPC,,6157753406084087168,60.36953,16.58165,DR3,187.9949,47.92888,-35.5544,107.2871,0.003,0.016,0.016,0.00993,0.05296,5750,250,5,0.5,0,0.5,TRES,,,N,298.4848818,27.14874911
136916387,2011.01,KP,* nu.02 Lup,5902750168276592256,14.74281,67.84669,DR3,230.4398,-1623.27,-48.3189,-275.548,0.001,0.015,0.015,0.00331,0.04965,5664,14,4.39,0.02,-0.34,0.01,Sousa*,2008A&A...487..373S,,N,327.0772501,7.378200657
139198430,1891.01,PC,,6539676638373111552,113.2225,8.831362906,DR2,345.631,-30.81644078,-46.0852,-2.599742307,0.003,0.015,0.015,0.00993,0.04965,,,,,,,,,,N,344.3360414,-61.32573294
142868621,2446.01,PC,,5054967123443063936,159.153,6.300261,DR3,50.94274,-8.61048,-31.2652,-66.7859,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,229.3256935,-56.66212251
142937186,2427.01,VPC?,,5055663973297050624,28.55305,35.03953,DR3,52.29176,150.4661,-31.3629,41.41908,0,0.014,0.014,0,0.04634,4250,250,3.5,0.5,0,0.5,TRES,,,N,229.6081616,-55.51694851
144000801,2302.01,APC,,6510393688787302784,169.41,5.91984,DR3,336.2792,48.83645,-52.5367,-11.9434,0.006,0.016,0.016,0.01986,0.05296,,,,,,,,,,N,339.7802727,-52.81034637
144065872,105.01,KP,,6518399301667782016,138.4869,7.237898,DR3,337.4578,92.1513,-48.0031,-6.90525,0.004,0.015,0.015,0.01324,0.04965,,,,,,,,,,N,346.1338796,-55.51348147
146520535,942.01,VP,,2974906868489280768,151.8405,6.602859,DR3,76.64962,15.43535,-20.2456,-3.95634,0.003,0.014,0.014,0.00993,0.04634,5250,250,4.5,0.5,0,0.5,TRES,,,N,220.9804593,-31.77462582
147203645,166.01,VPC+,,6577791758704836480,172.6275,5.80982,DR3,323.1961,29.93445,-44.018,-58.6197,0.007,0.016,0.016,0.02317,0.05296,,,,,,,,,,N,356.393169,-46.98021867
149845414,2545.01,PC,,5762607889340459008,105.5354,9.492498,DR3,135.5458,-14.7413,-3.42082,-11.3191,0.003,0.015,0.015,0.00993,0.04965,6000,250,4.5,0.5,0,0.5,TRES,,,N,232.5170778,26.90839684
150030205,286.01-02,CPC/PC,,5482316880495405056,59.33354,16.87087,DR3,90.9843,76.32995,-60.6663,-3.39889,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,269.6345802,-29.15957954
153065527,406.01,VPC?,,4851053999056603904,30.92385,32.3545,DR3,49.26265,41.64908,-42.2442,-412.87,0,0.014,0.014,0,0.05166,,,,,,,,,,N,249.5596069,-56.80790175
