TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
372172128,2196.01,VPC,,6375983988633147392,265.1673,3.788205,DR3,312.3401,16.32606,-70.4851,-20.1675,0.027,0.018,0.018,0.08937,0.05958,,,,,,,,,,N,323.7727956,-35.17671907
377064495,561.01-03,P/P/VPC?,,3850421005290172416,84.62241,11.8342,DR3,148.1851,-108.504,6.216095,-61.2795,0.003,0.015,0.015,0.00993,0.04965,5750,250,5,0.5,0,0.5,TRES,,,N,230.8491142,42.7298725
382068562,924.01,VPC+,,4769649280577737728,252.6107,3.975661,DR3,79.65689,-5.11617,-55.8886,54.25755,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,N,263.9143311,-35.04162225
382626661,283.01,VPC,,5275527747228841344,82.63113,12.11898,DR3,118.5693,-30.8377,-65.4415,16.01699,0.003,0.015,0.015,0.00993,0.04965,,,,,,,,,,N,278.0029999,-18.33527119
385332171,2644.01,APC,,3567876272486171904,321.3041,3.129316,DR3,181.693,26.50498,-16.5103,-31.1308,0.043,0.018,0.018,0.14233,0.05958,6500,250,4.5,0.5,0,0.5,TRES,,,N,287.6983291,45.03632423
398943781,780.01,KP,WASP-41,6160877943251930368,163.8714,6.119348,DR3,190.6188,14.8784,-30.6398,11.98819,0.025,0.018,0.018,0.08275,0.05958,5546,33,4.53,0.07,0.06,0.02,Mortier,2013A&A...558A.106M,,N,300.6537639,32.19222866
403224672,141.01,P,HD 213885,6407428994690988928,47.81317,20.93174,DR3,338.9837,-108.387,-59.8648,-84.4599,0.003,0.015,0.015,0.00993,0.04965,5773,54,,,,,Masana,2006A&A...450..735M,,Y,328.7020281,-49.93594631
405425498,2227.01,PC,,6385929006882225024,168.7178,5.944057,DR3,337.5178,-2.87922,-67.8501,24.73999,0.007,0.016,0.016,0.02317,0.05296,,,,,,,,,,N,320.6150254,-44.11075063
406976746,1063.01,VPC?,,5771517717394679424,61.35388,16.31589,DR3,230.5554,-89.2799,-83.0562,-9.58252,0.004,0.016,0.016,0.01324,0.05296,,,,,,,,,,N,307.4913343,-21.56186871
413248763,562.01,P,,5664814198431308288,9.437354,105.9789,DR3,144.0075,138.7218,-21.6652,-990.342,0,0.014,0.014,0,0.05166,3750,250,4.5,0.5,0,0.5,TRES,,,Y,253.8846597,22.0829667
415969908,233.01,VPC,,2402715141877299584,33.74524,29.65081,DR3,343.7086,-317.889,-18.9125,-143.283,0.001,0.015,0.015,0.00331,0.04965,4250,250,4.5,0.5,0,0.5,TRES,,,N,43.77744195,-62.01921553
420051632,2429.01,PC,,2501506295992493568,86.43676,11.58615,DR3,36.3639,-11.1297,1.057519,-70.1297,0.004,0.014,0.014,0.01324,0.04634,5500,250,4.5,0.5,0,0.5,TRES,,,N,165.4747527,-53.86089337
423670610,850.01,APC,,2370146709813594624,359.463,2.798928,DR3,9.765927,17.71528,-17.2218,-5.18267,0.012,0.018,0.018,0.03972,0.05958,5750,250,4,0.5,0,0.5,TRES,,,Y,106.1938699,-79.68911729
425997655,174.01-04,P/P/PC/CPC,HD 23472,4674216245427964416,39.11637,25.58174,DR3,55.459,-102.393,-62.7673,-44.0658,0.001,0.014,0.014,0.00331,0.04634,4813,111,4.38,0.21,-0.19,0.08,Sousa,2011A&A...533A.141S,,N,277.0263416,-44.84770881
429304876,682.01,VP,,3538925100535948416,83.77138,11.95425,DR3,167.8854,-91.3817,-22.0728,-53.1059,0.002,0.015,0.015,0.00662,0.04965,5250,250,4,0.5,0,0.5,TRES,,,N,274.3278529,35.1904995
437242640,744.01,KP,CD-23 9677,3537110837630877568,131.5083,7.621084,DR3,165.3994,-43.846,-23.861,-65.6369,0.007,0.016,0.016,0.02317,0.05296,5704,26,4.35,0.05,0.08,0.02,Mortier,2013A&A...558A.106M,,N,272.9185861,32.5319038
440887364,836.01-02,VP/VPC,,6230733559097425152,27.52126,36.35255,DR3,225.0799,-199.483,-24.4542,-27.9973,0.001,0.016,0.016,0.00331,0.05296,4500,250,4,0.5,0,0.5,TRES,,,N,336.9319015,29.77675301
441420236,2221.01,P,V* AU Mic,6794047652729201024,9.7157,102.9432,DR3,311.2912,281.319,-31.3425,-360.148,0,0.015,0.015,0,0.05535,3642,22,,,,,Malo,2014ApJ...792...37M,,N,12.65461309,-36.80249502
444013020,2547.01,KP,,596931979481073152,276.3009,3.636243,DR3,133.3243,2.617963,8.523018,3.399381,0.023,0.017,0.017,0.07613,0.05627,,,,,,,,,,Y,219.4061514,30.91918534
453211454,509.01-02,VPC/PC,HD 63935,3145754895088191744,48.89266,20.46997,DR3,117.9246,-78.6958,9.385215,-188.512,0.001,0.015,0.015,0.00331,0.04965,5552,49,,,,,Masana,2006A&A...450..735M,,N,211.2358373,17.61359327
454224694,2460.01,APC,,3234538431805345408,276.8906,3.628535,DR3,79.52817,2.537213,2.563672,-22.7373,0.033,0.029,0.029,0.10923,0.09599,6000,250,4.5,0.5,0,0.5,TRES,,,N,199.4322829,-19.37368459
