solution_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,epoch,blue_minus_red,distance,abs_g_mag
1.64E+18,2.40E+18,12.399524,13.588776,11.319015,TIC_415969908_,2000,2.269761,33.74524,9.758461394
1.64E+18,2.50E+18,9.973673,10.357048,9.416714,TIC_420051632_,2000,0.940334,86.43676,5.290180603
1.64E+18,2.37E+18,11.756223,12.062285,11.280101,TIC_423670610_,2000,0.782184,359.463,3.977952027
1.64E+18,4.67E+18,9.3899145,9.937757,8.693184,TIC_425997655_,2000,1.244573,39.11637,6.428121773
1.64E+18,3.54E+18,9.746839,10.163694,9.168754,TIC_429304876_,2000,0.99494,83.77138,5.131360651
1.64E+18,3.54E+18,10.205273,10.546549,9.700713,TIC_437242640_,2000,0.845836,131.5083,4.610507181
1.64E+18,6.23E+18,9.407139,10.12636,8.587305,TIC_440887364_,2000,1.539055,27.52126,7.208797434
1.64E+18,6.79E+18,7.8434396,8.909956,6.7986317,TIC_441420236_,2000,2.1113243,9.7157,7.906069119
1.64E+18,5.97E+17,11.744914,12.082474,11.241602,TIC_444013020_,2000,0.840872,276.3009,4.538002502
1.64E+18,3.15E+18,8.403595,8.761933,7.8739405,TIC_453211454_,2000,0.8879925,48.89266,4.957376672
1.64E+18,3.23E+18,11.751593,12.062668,11.272143,TIC_454224694_,2000,0.790525,276.8906,4.540051938
