#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6187.5109	55.2629	53.0072	6134.5036	6242.7737
logg	4.0432	0.1569	0.1604	3.8828	4.2002
[Fe/H]	-0.1188	0.1310	0.1221	-0.2409	0.0122
dist	13.4625	0.2034	0.2068	13.2557	13.6660
rad	1.5826	0.0401	0.0423	1.5403	1.6227
Av	0.0000	(FIXED)
grav_mass	0.9706	0.4116	0.3141	0.6565	1.3823
lum	3.3062	0.2120	0.2079	3.0983	3.5182
AD	1.0919	0.0339	0.0321	1.0598	1.1258
age	3.5661	2.5025	0.7929	1.8069	9.215438134474358
iso_mas	1.2392	0.0699	0.1641	0.9451	1.4293434857817782
eep	391.8758	61.4116	19.8464	346.9405	458.5298812958379
H_noise	0.7935	0.9446	0.5265	0.2670	1.7381
J_noise	0.8403	0.9449	0.5400	0.3003	1.7852
Ks_noise	0.8940	1.1577	0.5709	0.3231	2.0516
U_noise	0.0735	0.0718	0.0418	0.0318	0.1454
V_noise	0.0182	0.0158	0.0111	0.0072	0.0340
B_noise	0.0243	0.0187	0.0128	0.0115	0.0430
BT_noise	0.0578	0.0572	0.0340	0.0238	0.1151
VT_noise	0.0377	0.0383	0.0230	0.0147	0.0760
b_noise	0.0507	0.0535	0.0333	0.0174	0.1043
u_noise	1.1940	0.2184	0.1711	1.0229	1.4124
v_noise	0.2215	0.1199	0.0914	0.1301	0.3414
y_noise	0.0490	0.0517	0.0301	0.0188	0.1007
G_noise	0.0163	0.0160	0.0094	0.0069	0.0323
RP_noise	0.0188	0.0156	0.0103	0.0086	0.0345
BP_noise	0.0298	0.0123	0.0093	0.0205	0.0421
