#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6181.3161	126.4227	109.7254	6071.5908	6307.7388
logg	4.0596	0.3049	0.3225	3.7371	4.3645
[Fe/H]	-0.1316	0.2693	0.2368	-0.3684	0.1377
dist	13.4823	0.3946	0.4431	13.0391	13.8768
rad	1.5886	0.0815	0.0972	1.4914	1.6702
Av	0.0000	(FIXED)
grav_mass	0.8324	0.9379	0.4466	0.3858	1.7702
lum	3.2992	0.4624	0.4439	2.8553	3.7616
AD	1.0921	0.0699	0.0699	1.0223	1.1620
age	3.5661	2.5025	0.7929	2.7732	6.0687
iso_mass	1.2392	0.0699	0.1641	1.0751	1.3091
eep	391.8758	61.4116	19.8464	372.0294	453.2874
H_noise	0.3041	1.7212	0.4442	-0.1401	2.0254
J_noise	0.3609	1.7528	0.5008	-0.1399	2.1137
Ks_noise	0.3516	2.0812	0.5054	-0.1538	2.4328
U_noise	0.0365	0.1413	0.0410	-0.0045	0.1778
V_noise	0.0076	0.0351	0.0090	-0.0014	0.0427
B_noise	0.0137	0.0416	0.0147	-0.0010	0.0552
BT_noise	0.0293	0.1126	0.0348	-0.0055	0.1419
VT_noise	0.0174	0.0740	0.0211	-0.0038	0.0913
b_noise	0.0189	0.1037	0.0268	-0.0079	0.1226
u_noise	1.1638	0.4277	0.3208	0.8430	1.5915
v_noise	0.1531	0.2691	0.1046	0.0484	0.4222
y_noise	0.0229	0.0964	0.0286	-0.0057	0.1193
G_noise	0.0083	0.0314	0.0098	-0.0016	0.0397
RP_noise	0.0104	0.0340	0.0113	-0.0010	0.0443
BP_noise	0.0242	0.0273	0.0134	0.0108	0.0514
