# Filter Magnitude Uncertainty
2MASS_H 2.9880 0.2400
2MASS_J 3.2990 0.2860
2MASS_Ks 2.9460 0.2880
GROUND_JOHNSON_U 4.6380 0.0300
GROUND_JOHNSON_V 4.1260 0.0300
GROUND_JOHNSON_B 4.6510 0.0300
TYCHO_B_MvB 4.7180 0.0300
TYCHO_V_MvB 4.1760 0.0300
STROMGREN_b 4.4560 0.0300
STROMGREN_u 5.8580 0.0553
STROMGREN_v 4.9570 0.0306
STROMGREN_y 4.1250 0.0300
GaiaDR2v2_G 4.0118 0.0300
GaiaDR2v2_RP 3.5889 0.0300
GaiaDR2v2_BP 4.3040 0.0300
