#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6029.7980	44.4913	50.9796	5978.8184	6074.2893
logg	3.9767	0.1887	0.2109	3.7658	4.1653
[Fe/H]	-0.1160	0.1512	0.1292	-0.2453	0.0352
dist	18.8012	0.1697	0.1776	18.6235	18.9709
rad	1.7293	0.0438	0.0352	1.6941	1.7731
Av	0.0000	(FIXED)
grav_mass	0.9285	0.5622	0.3460	0.5825	1.4907
lum	3.5713	0.2046	0.2009	3.3704	3.7759
AD	0.8565	0.0224	0.0199	0.8366	0.8789
age	3.5704	3.2339	0.6275	1.8569	9.048784130790079
iso_mas	1.2985	0.0542	0.2487	0.9245	1.481769276261876
eep	453.7013	7.7100	68.2331	349.2314	464.10976943995547
H_noise	0.7364	1.0270	0.4728	0.2636	1.7634
Ks_noise	0.8509	1.0154	0.5851	0.2658	1.8663
U_noise	0.1228	0.1441	0.0757	0.0471	0.2669
V_noise	0.0091	0.0104	0.0052	0.0039	0.0194
B_noise	0.0127	0.0113	0.0066	0.0062	0.0240
BT_noise	0.0459	0.0591	0.0290	0.0169	0.1051
VT_noise	0.0251	0.0390	0.0157	0.0094	0.0640
b_noise	0.2191	0.2974	0.1425	0.0766	0.5164
u_noise	1.5424	0.3761	0.2960	1.2464	1.9185
v_noise	0.3463	0.3354	0.1652	0.1811	0.6817
y_noise	0.2365	0.2910	0.1499	0.0866	0.5274
G_noise	0.0142	0.0107	0.0071	0.0071	0.0249
RP_noise	0.0135	0.0136	0.0075	0.0059	0.0271
BP_noise	0.0082	0.0077	0.0045	0.0036	0.0158
