# Filter Magnitude Uncertainty
2MASS_H 3.6810 0.2220
2MASS_Ks 3.6380 0.2540
GROUND_JOHNSON_U 5.4240 0.0333
GROUND_JOHNSON_V 4.7890 0.0300
GROUND_JOHNSON_B 5.3610 0.0300
TYCHO_B_MvB 5.4410 0.0300
TYCHO_V_MvB 4.8480 0.0300
STROMGREN_b 5.1980 0.0731
STROMGREN_u 6.6690 0.0881
STROMGREN_v 5.7230 0.0770
STROMGREN_y 4.8490 0.0730
GaiaDR2v2_G 4.6498 0.0300
GaiaDR2v2_RP 4.2202 0.0300
GaiaDR2v2_BP 4.9449 0.0300
