#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6015.7539	107.4614	87.0808	5928.6731	6123.2153
logg	3.9252	0.3892	0.3148	3.6104	4.3144
[Fe/H]	-0.1318	0.2873	0.2207	-0.3525	0.1555
dist	18.7910	0.3110	0.3110	18.4800	19.1021
rad	1.7422	0.0688	0.0931	1.6491	1.8110
Av	0.0000	(FIXED)
grav_mass	0.8027	1.0199	0.4686	0.3341	1.8226
lum	3.5777	0.4113	0.4187	3.1589	3.9889
AD	0.8585	0.0408	0.0439	0.8146	0.8993
age	3.5704	3.2339	0.6275	2.9429	6.8043
iso_mass	1.2985	0.0542	0.2487	1.0498	1.3527
eep	453.7013	7.7100	68.2331	385.4682	461.4113
H_noise	0.3918	1.6645	0.5020	-0.1102	2.0562
Ks_noise	0.3269	1.9434	0.4711	-0.1442	2.2703
U_noise	0.0619	0.2624	0.0750	-0.0130	0.3243
V_noise	0.0052	0.0188	0.0059	-0.0006	0.0240
B_noise	0.0085	0.0221	0.0084	0.0001	0.0306
BT_noise	0.0193	0.1030	0.0268	-0.0075	0.1223
VT_noise	0.0127	0.0637	0.0175	-0.0048	0.0763
b_noise	0.1029	0.4974	0.1406	-0.0377	0.6003
u_noise	1.4874	0.6614	0.5079	0.9795	2.1488
v_noise	0.2238	0.5987	0.1928	0.0310	0.8225
y_noise	0.1126	0.5056	0.1482	-0.0355	0.6182
G_noise	0.0101	0.0203	0.0092	0.0010	0.0304
RP_noise	0.0066	0.0274	0.0073	-0.0007	0.0340
BP_noise	0.0048	0.0150	0.0052	-0.0004	0.0198
