#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3734.0129	68.4474	156.2006	3577.8123	3802.4604
logg	5.0043	0.4978	0.6662	4.3380	5.5021
[Fe/H]	0.2781	0.2474	0.7359	-0.4578	0.5255
dist	25.1718	0.1588	0.1900	24.9818	25.3306
rad	0.6361	0.0535	0.0274	0.6088	0.6896
Av	0.0000	(FIXED)
grav_mass	0.7532	2.5199	0.7159	0.0374	3.2731
lum	0.0697	0.0139	0.0114	0.0582	0.0835
AD	0.2363	0.0189	0.0111	0.2252	0.2552
age	1.8505	9.9311	1.6177	0.2328	11.7817
iso_mass	0.6241	0.0244	0.0170	0.6070	0.6484
eep	324.8037	11.1735	50.2807	274.5229	335.9772
H_noise	0.0718	0.3679	0.0920	-0.0201	0.4397
J_noise	0.0332	0.1666	0.0405	-0.0073	0.1998
Ks_noise	0.0614	0.3085	0.0761	-0.0147	0.3699
V_noise	0.0417	0.1534	0.0469	-0.0052	0.1951
B_noise	0.0613	0.1778	0.0690	-0.0077	0.2391
BT_noise	0.3279	1.2755	0.4252	-0.0972	1.6034
VT_noise	0.0909	0.4209	0.1173	-0.0264	0.5118
G_noise	0.0024	0.0084	0.0026	-0.0002	0.0108
RP_noise	0.0069	0.0091	0.0067	0.0002	0.0160
BP_noise	0.0064	0.0165	0.0065	-0.0001	0.0230
W1_noise	0.0804	0.4937	0.1182	-0.0378	0.5741
W2_noise	0.1152	0.1772	0.0780	0.0372	0.2924
