#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3737.0495	60.9305	61.8976	3675.1519	3797.9800
logg	4.9022	0.2563	0.3021	4.6001	5.1585
[Fe/H]	-0.0114	0.2789	0.3269	-0.3382	0.2676
dist	53.8152	0.2204	0.2280	53.5871	54.0356
rad	0.6595	0.0233	0.0202	0.6393	0.6828
Av	0.0196	0.0319	0.0329	-0.0133	0.0515
grav_mass	1.0707	0.9879	0.5426	0.5280	2.0586
lum	0.0757	0.0081	0.0060	0.0697	0.0838
AD	0.1139	0.0040	0.0035	0.1104	0.1180
age	3.8434	7.8371	3.3330	0.0150	13.43705405408836
iso_mas	0.6372	0.0147	0.0173	0.4134	0.6727271087305983
eep	323.0438	12.5577	44.8489	158.0000	336.7974869832941
H_noise	0.1560	0.1275	0.0911	0.0649	0.2836
J_noise	0.1052	0.0881	0.0547	0.0504	0.1932
Ks_noise	0.0881	0.0727	0.0502	0.0380	0.1608
V_noise	0.1204	0.1388	0.0777	0.0426	0.2592
B_noise	0.0787	0.0497	0.0373	0.0414	0.1284
G_noise	0.0036	0.0019	0.0017	0.0019	0.0055
RP_noise	0.0147	0.0061	0.0050	0.0097	0.0209
BP_noise	0.0180	0.0117	0.0091	0.0090	0.0297
SDSS_g_noise	2.4857	2.8001	1.6232	0.8624	5.2858
SDSS_i_noise	1.6368	1.8990	1.0037	0.6331	3.5358
SDSS_r_noise	0.2075	0.1667	0.1164	0.0911	0.3741
W1_noise	0.0808	0.0844	0.0449	0.0360	0.1653
W2_noise	0.1637	0.0832	0.0631	0.1006	0.2468
