# Filter Magnitude Uncertainty
2MASS_H 8.8380 0.0310
2MASS_J 9.5540 0.0300
2MASS_Ks 8.6560 0.0300
GROUND_JOHNSON_V 12.5380 0.0300
GROUND_JOHNSON_B 13.9720 0.0300
GaiaDR2v2_G 11.7763 0.0300
GaiaDR2v2_RP 10.7974 0.0300
GaiaDR2v2_BP 12.7850 0.0300
SDSS_g 13.6520 0.7380
SDSS_i 11.3950 0.5000
SDSS_r 11.9180 0.0380
WISE_RSR_W1 8.5570 0.0300
WISE_RSR_W2 8.5960 0.0300
