#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4687.2379	179.0733	179.0733	4508.1646	4866.3112
logg	4.5797	0.1682	0.1629	4.4168	4.7479
[Fe/H]	-0.0210	0.2904	0.3617	-0.3828	0.2694
dist	6.5348	0.0259	0.0287	6.5061	6.5606
rad	0.8247	0.1088	0.0936	0.7310	0.9335
Av	0.0000	(FIXED)
grav_mass	0.8784	0.5351	0.3077	0.5707	1.4135
lum	0.2870	0.1021	0.0705	0.2165	0.3892
AD	1.1743	0.1571	0.1321	1.0422	1.3314
age	1.9769	8.0492	1.9336	0.0433	10.0261
iso_mass	0.8294	0.0482	0.0804	0.7491	0.8776
eep	340.6423	18.7522	51.4173	289.2250	359.3945
H_noise	0.5159	1.8076	0.6025	-0.0866	2.3235
J_noise	0.4565	1.9529	0.5661	-0.1096	2.4094
Ks_noise	0.4399	2.1069	0.6065	-0.1666	2.5468
U_noise	0.0540	0.1703	0.0568	-0.0028	0.2243
V_noise	0.0191	0.0769	0.0217	-0.0026	0.0960
B_noise	0.0599	0.0881	0.0474	0.0125	0.1480
BT_noise	0.0314	0.1303	0.0361	-0.0047	0.1617
VT_noise	0.0207	0.0749	0.0233	-0.0026	0.0956
b_noise	0.0534	0.2393	0.0632	-0.0098	0.2927
u_noise	1.3752	0.6980	0.5288	0.8464	2.0732
v_noise	0.2266	0.4459	0.1696	0.0571	0.6725
y_noise	0.0504	0.2218	0.0629	-0.0125	0.2722
